Output Format: HOBO CSV Name, Last Snow Day (with time), Number of Snow Days

10166265,05/16/22 6:36,45
10166267,05/15/22 0:36,41
10166270,05/15/22 18:36,41
10166271,05/20/22 6:36,38
10166272,05/12/22 12:36,35
10166275,05/14/22 6:36,38
10166277,05/15/22 6:36,41
10166278,05/24/22 18:36,65
10166279,05/20/22 6:36,42
10166282,05/13/22 18:36,36
10166283,05/20/22 6:36,46
10166285,05/20/22 6:36,43
10166294,05/14/22 6:36,40
10166296,05/20/22 6:36,40
10166298,05/14/22 0:36,36
10166301,05/20/22 6:36,39
10166302,05/20/22 6:36,40
10166304,05/25/22 6:36,65
10166305,05/17/22 12:36,47
10166306,05/20/22 12:36,41
10166307,05/27/22 6:36,67
10166315,05/20/22 6:36,44
10166320,05/17/22 0:36,47
10169126,05/22/22 6:36,62
10169127,05/27/22 0:36,67
10169128,05/23/22 12:36,63
10169129,05/20/22 6:36,38
10169130,05/20/22 6:36,44
10169135,05/15/22 6:36,41
10169140,05/14/22 12:36,40
10169142,05/15/22 6:36,43
10169143,05/20/22 6:36,38
10169144,05/15/22 12:36,44
10169145,05/14/22 6:36,39
10169147,05/20/22 6:36,38
10169149,05/20/22 12:36,37
10169152,05/14/22 6:36,39
10169153,05/20/22 6:36,47
10169156,05/21/22 6:36,49
10169162,05/26/22 12:36,66
10169163,05/20/22 6:36,37
10169165,05/20/22 12:36,39
10169166,05/20/22 6:36,39
10169168,05/16/22 6:36,41
10169171,05/15/22 12:36,41
10169174,05/20/22 6:36,42
10169175,05/20/22 12:36,54
10169185,05/14/22 0:36,37
10760648,05/14/22 12:36,39
10760650,05/15/22 12:36,41
10760651,05/14/22 18:36,41
10761025,05/15/22 6:36,41
