"Plot Title: 10166282"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Coupler Attached","Stopped","End Of File"
1,07/03/13 03:00:00 PM,24.158,992.0,3.14,,,
2,07/03/13 09:00:00 PM,15.473,0.0,3.12,,,
3,07/04/13 03:00:00 AM,13.365,0.0,3.10,,,
4,07/04/13 09:00:00 AM,13.750,256.0,3.08,,,
5,07/04/13 03:00:00 PM,21.091,576.0,3.08,,,
6,07/04/13 09:00:00 PM,13.076,0.0,3.08,,,
7,07/05/13 03:00:00 AM,10.259,0.0,3.03,,,
8,07/05/13 09:00:00 AM,10.651,78.0,3.03,,,
9,07/05/13 03:00:00 PM,18.996,608.0,3.05,,,
10,07/05/13 09:00:00 PM,12.304,0.0,3.03,,,
11,07/06/13 03:00:00 AM,10.161,0.0,3.01,,,
12,07/06/13 09:00:00 AM,11.819,288.0,3.01,,,
13,07/06/13 03:00:00 PM,21.473,672.0,3.01,,,
14,07/06/13 09:00:00 PM,13.846,0.0,3.01,,,
15,07/07/13 03:00:00 AM,11.819,0.0,2.99,,,
16,07/07/13 09:00:00 AM,13.461,272.0,2.99,,,
17,07/07/13 03:00:00 PM,21.855,768.0,2.99,,,
18,07/07/13 09:00:00 PM,14.038,0.0,3.01,,,
19,07/08/13 03:00:00 AM,11.916,0.0,2.99,,,
20,07/08/13 09:00:00 AM,13.654,272.0,2.99,,,
21,07/08/13 03:00:00 PM,23.292,768.0,2.99,,,
22,07/08/13 09:00:00 PM,16.523,0.0,2.99,,,
23,07/09/13 03:00:00 AM,14.517,0.0,2.99,,,
24,07/09/13 09:00:00 AM,16.903,272.0,2.97,,,
25,07/09/13 03:00:00 PM,25.902,1088.0,2.97,,,
26,07/09/13 09:00:00 PM,17.570,0.0,2.99,,,
27,07/10/13 03:00:00 AM,15.282,0.0,2.97,,,
28,07/10/13 09:00:00 AM,16.427,320.0,2.97,,,
29,07/10/13 03:00:00 PM,24.738,1024.0,2.99,,,
30,07/10/13 09:00:00 PM,15.664,0.0,2.97,,,
31,07/11/13 03:00:00 AM,12.594,0.0,2.97,,,
32,07/11/13 09:00:00 AM,12.980,336.0,2.95,,,
33,07/11/13 03:00:00 PM,20.996,1408.0,2.95,,,
34,07/11/13 09:00:00 PM,12.980,0.0,2.97,,,
35,07/12/13 03:00:00 AM,10.259,0.0,2.93,,,
36,07/12/13 09:00:00 AM,11.528,336.0,2.93,,,
37,07/12/13 03:00:00 PM,19.092,768.0,2.97,,,
38,07/12/13 09:00:00 PM,11.431,0.0,2.95,,,
39,07/13/13 03:00:00 AM,9.768,0.0,2.93,,,
40,07/13/13 09:00:00 AM,12.013,368.0,2.93,,,
41,07/13/13 03:00:00 PM,22.333,704.0,2.95,,,
42,07/13/13 09:00:00 PM,14.900,0.0,2.97,,,
43,07/14/13 03:00:00 AM,13.173,0.0,2.95,,,
44,07/14/13 09:00:00 AM,16.046,352.0,2.93,,,
45,07/14/13 03:00:00 PM,24.835,864.0,2.97,,,
46,07/14/13 09:00:00 PM,16.713,0.0,2.95,,,
47,07/15/13 03:00:00 AM,14.230,0.0,2.95,,,
48,07/15/13 09:00:00 AM,16.237,336.0,2.95,,,
49,07/15/13 03:00:00 PM,25.708,672.0,2.95,,,
50,07/15/13 09:00:00 PM,18.901,0.0,2.97,,,
51,07/16/13 03:00:00 AM,16.713,0.0,2.95,,,
52,07/16/13 09:00:00 AM,18.140,288.0,2.95,,,
53,07/16/13 03:00:00 PM,24.931,704.0,2.97,,,
54,07/16/13 09:00:00 PM,15.855,0.0,2.95,,,
55,07/17/13 03:00:00 AM,13.750,0.0,2.95,,,
56,07/17/13 09:00:00 AM,15.091,368.0,2.93,,,
57,07/17/13 03:00:00 PM,23.773,672.0,2.95,,,
58,07/17/13 09:00:00 PM,15.951,0.0,2.95,,,
59,07/18/13 03:00:00 AM,13.558,0.0,2.95,,,
60,07/18/13 09:00:00 AM,16.237,384.0,2.93,,,
61,07/18/13 03:00:00 PM,25.319,672.0,2.95,,,
62,07/18/13 09:00:00 PM,16.808,0.0,2.95,,,
63,07/19/13 03:00:00 AM,14.517,0.0,2.95,,,
64,07/19/13 09:00:00 AM,16.523,384.0,2.93,,,
65,07/19/13 03:00:00 PM,25.805,768.0,2.95,,,
66,07/19/13 09:00:00 PM,17.094,0.0,2.95,,,
67,07/20/13 03:00:00 AM,14.230,0.0,2.95,,,
68,07/20/13 09:00:00 AM,16.427,384.0,2.93,,,
69,07/20/13 03:00:00 PM,26.000,704.0,2.95,,,
70,07/20/13 09:00:00 PM,17.475,0.0,2.95,,,
71,07/21/13 03:00:00 AM,14.325,0.0,2.95,,,
72,07/21/13 09:00:00 AM,16.332,352.0,2.93,,,
73,07/21/13 03:00:00 PM,26.195,768.0,2.95,,,
74,07/21/13 09:00:00 PM,17.760,0.0,2.95,,,
75,07/22/13 03:00:00 AM,15.282,0.0,2.93,,,
76,07/22/13 09:00:00 AM,16.903,320.0,2.93,,,
77,07/22/13 03:00:00 PM,26.585,704.0,2.95,,,
78,07/22/13 09:00:00 PM,18.616,0.0,2.95,,,
79,07/23/13 03:00:00 AM,16.332,0.0,2.95,,,
