"Plot Title: 10166273"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Coupler Attached","Coupler Detached","Host Connected","Stopped","End Of File"
1,07/14/15 03:00:00 PM,21.855,26.0,3.14,,,,,
2,07/14/15 09:00:00 PM,9.768,0.0,3.10,,,,,
3,07/15/15 03:00:00 AM,6.775,0.0,3.05,,,,,
4,07/15/15 09:00:00 AM,36.511,256.0,3.08,,,,,
5,07/15/15 03:00:00 PM,22.717,21.0,3.10,,,,,
6,07/15/15 09:00:00 PM,9.571,0.0,3.05,,,,,
7,07/16/15 03:00:00 AM,6.978,0.0,3.01,,,,,
8,07/16/15 09:00:00 AM,33.848,248.0,3.03,,,,,
9,07/16/15 03:00:00 PM,21.951,23.0,3.05,,,,,
10,07/16/15 09:00:00 PM,8.382,0.0,2.99,,,,,
11,07/17/15 03:00:00 AM,5.552,0.0,2.95,,,,,
12,07/17/15 09:00:00 AM,27.961,160.0,3.01,,,,,
13,07/17/15 03:00:00 PM,22.908,19.0,3.03,,,,,
14,07/17/15 09:00:00 PM,10.063,0.0,2.97,,,,,
15,07/18/15 03:00:00 AM,9.275,0.0,2.97,,,,,
16,07/18/15 09:00:00 AM,41.575,288.0,2.97,,,,,
17,07/18/15 03:00:00 PM,24.641,18.0,3.03,,,,,
18,07/18/15 09:00:00 PM,12.401,0.0,2.97,,,,,
19,07/19/15 03:00:00 AM,9.965,0.0,2.95,,,,,
20,07/19/15 09:00:00 AM,42.998,288.0,2.97,,,,,
21,07/19/15 03:00:00 PM,25.708,18.0,3.01,,,,,
22,07/19/15 09:00:00 PM,11.819,0.0,2.95,,,,,
23,07/20/15 03:00:00 AM,9.077,0.0,2.95,,,,,
24,07/20/15 09:00:00 AM,42.878,288.0,2.95,,,,,
25,07/20/15 03:00:00 PM,24.931,18.0,3.01,,,,,
26,07/20/15 09:00:00 PM,11.139,0.0,2.95,,,,,
27,07/21/15 03:00:00 AM,8.182,0.0,2.91,,,,,
28,07/21/15 09:00:00 AM,41.458,288.0,2.93,,,,,
29,07/21/15 03:00:00 PM,23.484,18.0,2.99,,,,,
30,07/21/15 09:00:00 PM,7.882,0.0,2.93,,,,,
31,07/22/15 03:00:00 AM,4.831,0.0,2.89,,,,,
32,07/22/15 09:00:00 AM,37.714,304.0,2.95,,,,,
33,07/22/15 03:00:00 PM,21.378,19.0,2.97,,,,,
34,07/22/15 09:00:00 PM,6.877,0.0,2.93,,,,,
35,07/23/15 03:00:00 AM,4.311,0.0,2.91,,,,,
36,07/23/15 09:00:00 AM,36.620,288.0,2.93,,,,,
37,07/23/15 03:00:00 PM,21.664,18.0,2.97,,,,,
38,07/23/15 09:00:00 PM,8.382,0.0,2.93,,,,,
39,07/24/15 03:00:00 AM,6.166,0.0,2.91,,,,,
40,07/24/15 09:00:00 AM,37.494,216.0,2.95,,,,,
41,07/24/15 03:00:00 PM,23.292,17.0,2.99,,,,,
42,07/24/15 09:00:00 PM,9.669,0.0,2.93,,,,,
43,07/25/15 03:00:00 AM,7.782,0.0,2.91,,,,,
44,07/25/15 09:00:00 AM,19.282,48.0,2.95,,,,,
45,07/25/15 03:00:00 PM,18.045,34.0,2.95,,,,,
46,07/25/15 09:00:00 PM,11.431,0.0,2.91,,,,,
47,07/26/15 03:00:00 AM,9.965,0.0,2.89,,,,,
48,07/26/15 09:00:00 AM,14.421,43.0,2.91,,,,,
49,07/26/15 03:00:00 PM,17.760,33.0,2.93,,,,,
50,07/26/15 09:00:00 PM,8.779,0.0,2.89,,,,,
51,07/27/15 03:00:00 AM,7.280,0.0,2.87,,,,,
52,07/27/15 09:00:00 AM,36.187,106.0,2.91,,,,,
53,07/27/15 03:00:00 PM,19.948,17.0,2.93,,,,,
54,07/27/15 09:00:00 PM,6.370,0.0,2.89,,,,,
55,07/28/15 03:00:00 AM,4.207,0.0,2.89,,,,,
56,07/28/15 09:00:00 AM,33.848,61.0,2.93,,,,,
57,07/28/15 03:00:00 PM,23.869,17.0,2.97,,,,,
58,07/28/15 09:00:00 PM,11.625,0.0,2.93,,,,,
59,07/29/15 03:00:00 AM,7.682,0.0,2.89,,,,,
60,07/29/15 09:00:00 AM,35.649,56.0,2.93,,,,,
61,07/29/15 03:00:00 PM,26.292,19.0,2.97,,,,,
62,07/29/15 09:00:00 PM,12.883,0.0,2.95,,,,,
63,07/30/15 03:00:00 AM,10.161,0.0,2.91,,,,,
64,07/30/15 09:00:00 AM,36.728,50.0,2.95,,,,,
65,07/30/15 03:00:00 PM,29.053,21.0,2.99,,,,,
66,07/30/15 09:00:00 PM,14.517,0.0,2.97,,,,,
67,07/31/15 03:00:00 AM,12.401,0.0,2.93,,,,,
68,07/31/15 09:00:00 AM,33.953,44.0,2.97,,,,,
69,07/31/15 03:00:00 PM,29.853,21.0,2.97,,,,,
70,07/31/15 09:00:00 PM,13.942,0.0,2.95,,,,,
71,08/01/15 03:00:00 AM,11.236,0.0,2.93,,,,,
72,08/01/15 09:00:00 AM,26.195,52.0,2.95,,,,,
73,08/01/15 03:00:00 PM,32.291,36.0,2.99,,,,,
74,08/01/15 09:00:00 PM,14.996,0.0,2.97,,,,,
75,08/02/15 03:00:00 AM,11.819,0.0,2.93,,,,,
76,08/02/15 09:00:00 AM,21.951,34.0,2.95,,,,,
77,08/02/15 03:00:00 PM,26.683,34.0,2.97,,,,,
78,08/02/15 09:00:00 PM,14.134,0.0,2.95,,,,,
79,08/03/15 03:00:00 AM,14.230,0.0,2.93,,,,,
80,08/03/15 09:00:00 AM,25.513,62.0,2.93,,,,,
81,08/03/15 03:00:00 PM,23.869,26.0,2.95,,,,,
82,08/03/15 09:00:00 PM,12.690,0.0,2.91,,,,,
83,08/04/15 03:00:00 AM,9.472,0.0,2.91,,,,,
84,08/04/15 09:00:00 AM,21.282,32.0,2.91,,,,,
85,08/04/15 03:00:00 PM,24.738,26.0,2.97,,,,,
86,08/04/15 09:00:00 PM,9.866,0.0,2.89,,,,,
87,08/05/15 03:00:00 AM,5.962,0.0,2.87,,,,,
88,08/05/15 09:00:00 AM,17.950,26.0,2.91,,,,,
89,08/05/15 03:00:00 PM,22.621,25.0,2.95,,,,,
90,08/05/15 09:00:00 PM,7.280,0.0,2.89,,,,,
91,08/06/15 03:00:00 AM,5.552,0.0,2.87,,,,,
92,08/06/15 09:00:00 AM,16.237,23.0,2.91,,,,,
93,08/06/15 03:00:00 PM,23.100,25.0,2.95,,,,,
94,08/06/15 09:00:00 PM,9.077,0.0,2.91,,,,,
95,08/07/15 03:00:00 AM,6.674,0.0,2.87,,,,,
96,08/07/15 09:00:00 AM,17.189,22.0,2.91,,,,,
97,08/07/15 03:00:00 PM,24.448,26.0,2.95,,,,,
98,08/07/15 09:00:00 PM,8.978,0.0,2.91,,,,,
99,08/08/15 03:00:00 AM,6.877,0.0,2.89,,,,,
100,08/08/15 09:00:00 AM,16.713,21.0,2.91,,,,,
101,08/08/15 03:00:00 PM,23.196,25.0,2.95,,,,,
102,08/08/15 09:00:00 PM,11.625,0.0,2.91,,,,,
103,08/09/15 03:00:00 AM,9.866,0.0,2.89,,,,,
104,08/09/15 09:00:00 AM,20.519,49.0,2.91,,,,,
105,08/09/15 03:00:00 PM,21.760,23.0,2.93,,,,,
106,08/09/15 09:00:00 PM,12.497,0.0,2.91,,,,,
107,08/10/15 03:00:00 AM,7.582,0.0,2.89,,,,,
108,08/10/15 09:00:00 AM,18.616,36.0,2.91,,,,,
109,08/10/15 03:00:00 PM,25.319,41.0,2.93,,,,,
110,08/10/15 09:00:00 PM,12.110,0.0,2.91,,,,,
111,08/11/15 03:00:00 AM,10.357,0.0,2.89,,,,,
112,08/11/15 09:00:00 AM,20.996,49.0,2.91,,,,,
113,08/11/15 03:00:00 PM,26.977,31.0,2.95,,,,,
114,08/11/15 09:00:00 PM,12.304,0.0,2.91,,,,,
115,08/12/15 03:00:00 AM,10.161,0.0,2.89,,,,,
116,08/12/15 09:00:00 AM,20.234,37.0,2.91,,,,,
117,08/12/15 03:00:00 PM,25.902,26.0,2.95,,,,,
118,08/12/15 09:00:00 PM,11.819,0.0,2.91,,,,,
119,08/13/15 03:00:00 AM,8.978,0.0,2.91,,,,,
120,08/13/15 09:00:00 AM,18.711,60.0,2.93,,,,,
121,08/13/15 03:00:00 PM,25.708,23.0,2.95,,,,,
122,08/13/15 09:00:00 PM,11.528,0.0,2.91,,,,,
123,08/14/15 03:00:00 AM,9.571,0.0,2.91,,,,,
124,08/14/15 09:00:00 AM,12.401,16.0,2.91,,,,,
125,08/14/15 03:00:00 PM,18.236,41.0,2.91,,,,,
126,08/14/15 09:00:00 PM,11.139,0.0,2.89,,,,,
127,08/15/15 03:00:00 AM,9.571,0.0,2.89,,,,,
128,08/15/15 09:00:00 AM,16.618,36.0,2.89,,,,,
129,08/15/15 03:00:00 PM,21.664,29.0,2.93,,,,,
130,08/15/15 09:00:00 PM,7.079,0.0,2.87,,,,,
131,08/16/15 03:00:00 AM,4.102,0.0,2.89,,,,,
132,08/16/15 09:00:00 AM,17.475,78.0,2.89,,,,,
133,08/16/15 03:00:00 PM,23.004,27.0,2.93,,,,,
134,08/16/15 09:00:00 PM,9.768,0.0,2.89,,,,,
135,08/17/15 03:00:00 AM,6.471,0.0,2.87,,,,,
136,08/17/15 09:00:00 AM,19.377,42.0,2.91,,,,,
137,08/17/15 03:00:00 PM,25.513,26.0,2.93,,,,,
138,08/17/15 09:00:00 PM,11.722,0.0,2.91,,,,,
139,08/18/15 03:00:00 AM,8.978,0.0,2.89,,,,,
140,08/18/15 09:00:00 AM,21.473,29.0,2.91,,,,,
141,08/18/15 03:00:00 PM,27.173,25.0,2.95,,,,,
142,08/18/15 09:00:00 PM,13.461,0.0,2.93,,,,,
143,08/19/15 03:00:00 AM,10.748,0.0,2.89,,,,,
144,08/19/15 09:00:00 AM,21.951,24.0,2.91,,,,,
145,08/19/15 03:00:00 PM,26.683,24.0,2.95,,,,,
146,08/19/15 09:00:00 PM,12.304,0.0,2.91,,,,,
147,08/20/15 03:00:00 AM,8.382,0.0,2.89,,,,,
148,08/20/15 09:00:00 AM,17.570,14.0,2.91,,,,,
149,08/20/15 03:00:00 PM,22.812,23.0,2.93,,,,,
150,08/20/15 09:00:00 PM,9.077,0.0,2.91,,,,,
151,08/21/15 03:00:00 AM,6.064,0.0,2.87,,,,,
152,08/21/15 09:00:00 AM,14.996,13.0,2.91,,,,,
153,08/21/15 03:00:00 PM,20.234,25.0,2.91,,,,,
154,08/21/15 09:00:00 PM,6.978,0.0,2.87,,,,,
155,08/22/15 03:00:00 AM,4.207,0.0,2.89,,,,,
156,08/22/15 09:00:00 AM,13.750,14.0,2.89,,,,,
157,08/22/15 03:00:00 PM,22.525,24.0,2.93,,,,,
158,08/22/15 09:00:00 PM,9.866,0.0,2.89,,,,,
159,08/23/15 03:00:00 AM,8.779,0.0,2.89,,,,,
160,08/23/15 09:00:00 AM,18.616,22.0,2.91,,,,,
161,08/23/15 03:00:00 PM,25.708,44.0,2.93,,,,,
162,08/23/15 09:00:00 PM,10.259,0.0,2.89,,,,,
163,08/24/15 03:00:00 AM,7.983,0.0,2.89,,,,,
164,08/24/15 09:00:00 AM,17.855,19.0,2.91,,,,,
165,08/24/15 03:00:00 PM,23.773,24.0,2.93,,,,,
166,08/24/15 09:00:00 PM,9.866,0.0,2.89,,,,,
167,08/25/15 03:00:00 AM,8.382,0.0,2.89,,,,,
168,08/25/15 09:00:00 AM,16.237,16.0,2.89,,,,,
169,08/25/15 03:00:00 PM,23.773,22.0,2.93,,,,,
170,08/25/15 09:00:00 PM,10.259,0.0,2.89,,,,,
171,08/26/15 03:00:00 AM,8.779,0.0,2.89,,,,,
172,08/26/15 09:00:00 AM,18.331,23.0,2.91,,,,,
173,08/26/15 03:00:00 PM,25.222,36.0,2.93,,,,,
174,08/26/15 09:00:00 PM,11.041,0.0,2.89,,,,,
175,08/27/15 03:00:00 AM,8.779,0.0,2.89,,,,,
176,08/27/15 09:00:00 AM,16.903,16.0,2.89,,,,,
177,08/27/15 03:00:00 PM,23.677,20.0,2.93,,,,,
178,08/27/15 09:00:00 PM,13.461,0.0,2.91,,,,,
179,08/28/15 03:00:00 AM,10.846,0.0,2.89,,,,,
180,08/28/15 09:00:00 AM,18.996,24.0,2.91,,,,,
181,08/28/15 03:00:00 PM,26.683,35.0,2.93,,,,,
182,08/28/15 09:00:00 PM,13.365,0.0,2.91,,,,,
183,08/29/15 03:00:00 AM,13.269,0.0,2.89,,,,,
184,08/29/15 09:00:00 AM,14.900,18.0,2.91,,,,,
185,08/29/15 03:00:00 PM,17.284,15.0,2.91,,,,,
186,08/29/15 09:00:00 PM,11.528,0.0,2.87,,,,,
187,08/30/15 03:00:00 AM,10.063,0.0,2.87,,,,,
188,08/30/15 09:00:00 AM,9.866,7.0,2.85,,,,,
189,08/30/15 03:00:00 PM,11.139,6.0,2.87,,,,,
190,08/30/15 09:00:00 PM,9.373,0.0,2.87,,,,,
191,08/31/15 03:00:00 AM,7.983,0.0,2.87,,,,,
192,08/31/15 09:00:00 AM,12.110,12.0,2.87,,,,,
193,08/31/15 03:00:00 PM,16.808,14.0,2.89,,,,,
194,08/31/15 09:00:00 PM,8.382,0.0,2.87,,,,,
195,09/01/15 03:00:00 AM,8.680,0.0,2.87,,,,,
196,09/01/15 09:00:00 AM,10.846,10.0,2.85,,,,,
197,09/01/15 03:00:00 PM,19.187,19.0,2.91,,,,,
198,09/01/15 09:00:00 PM,11.334,0.0,2.87,,,,,
199,09/02/15 03:00:00 AM,10.357,0.0,2.85,,,,,
200,09/02/15 09:00:00 AM,9.472,4.0,2.87,,,,,
201,09/02/15 03:00:00 PM,11.431,4.0,2.87,,,,,
202,09/02/15 09:00:00 PM,8.182,0.0,2.87,,,,,
203,09/03/15 03:00:00 AM,5.450,0.0,2.85,,,,,
204,09/03/15 09:00:00 AM,9.077,11.0,2.87,,,,,
205,09/03/15 03:00:00 PM,11.431,19.0,2.85,,,,,
206,09/03/15 09:00:00 PM,3.998,0.0,2.85,,,,,
207,09/04/15 03:00:00 AM,2.837,0.0,2.83,,,,,
208,09/04/15 09:00:00 AM,10.357,30.0,2.85,,,,,
209,09/04/15 03:00:00 PM,1.003,1.0,2.83,,,,,
210,09/04/15 09:00:00 PM,0.893,0.0,2.81,,,,,
211,09/05/15 03:00:00 AM,0.893,0.0,2.81,,,,,
212,09/05/15 09:00:00 AM,3.472,5.0,2.83,,,,,
213,09/05/15 03:00:00 PM,10.455,14.0,2.85,,,,,
214,09/05/15 09:00:00 PM,2.410,0.0,2.83,,,,,
215,09/06/15 03:00:00 AM,1.221,0.0,2.81,,,,,
216,09/06/15 09:00:00 AM,11.041,37.0,2.85,,,,,
217,09/06/15 03:00:00 PM,15.664,30.0,2.85,,,,,
218,09/06/15 09:00:00 PM,4.415,0.0,2.85,,,,,
219,09/07/15 03:00:00 AM,2.517,0.0,2.83,,,,,
220,09/07/15 09:00:00 AM,6.471,9.0,2.83,,,,,
221,09/07/15 03:00:00 PM,14.134,9.0,2.87,,,,,
222,09/07/15 09:00:00 PM,7.179,0.0,2.87,,,,,
223,09/08/15 03:00:00 AM,5.347,0.0,2.85,,,,,
224,09/08/15 09:00:00 AM,9.176,14.0,2.87,,,,,
225,09/08/15 03:00:00 PM,16.713,9.0,2.89,,,,,
226,09/08/15 09:00:00 PM,9.768,0.0,2.85,,,,,
227,09/09/15 03:00:00 AM,7.882,0.0,2.87,,,,,
228,09/09/15 09:00:00 AM,11.139,21.0,2.85,,,,,
229,09/09/15 03:00:00 PM,17.570,9.0,2.89,,,,,
230,09/09/15 09:00:00 PM,9.965,0.0,2.85,,,,,
231,09/10/15 03:00:00 AM,8.082,0.0,2.87,,,,,
232,09/10/15 09:00:00 AM,11.916,17.0,2.85,,,,,
233,09/10/15 03:00:00 PM,19.377,11.0,2.91,,,,,
234,09/10/15 09:00:00 PM,11.625,0.0,2.87,,,,,
235,09/11/15 03:00:00 AM,10.063,0.0,2.85,,,,,
236,09/11/15 09:00:00 AM,15.091,12.0,2.87,,,,,
237,09/11/15 03:00:00 PM,22.429,13.0,2.91,,,,,
238,09/11/15 09:00:00 PM,13.558,0.0,2.89,,,,,
239,09/12/15 03:00:00 AM,11.916,0.0,2.87,,,,,
240,09/12/15 09:00:00 AM,14.804,10.0,2.89,,,,,
241,09/12/15 03:00:00 PM,20.329,9.0,2.91,,,,,
242,09/12/15 09:00:00 PM,11.528,0.0,2.87,,,,,
243,09/13/15 03:00:00 AM,8.182,0.0,2.87,,,,,
244,09/13/15 09:00:00 AM,11.528,8.0,2.87,,,,,
245,09/13/15 03:00:00 PM,18.711,20.0,2.91,,,,,
246,09/13/15 09:00:00 PM,7.582,0.0,2.87,,,,,
247,09/14/15 03:00:00 AM,6.268,0.0,2.87,,,,,
248,09/14/15 09:00:00 AM,10.063,22.0,2.85,,,,,
249,09/14/15 03:00:00 PM,14.421,16.0,2.89,,,,,
250,09/14/15 09:00:00 PM,5.141,0.0,2.85,,,,,
251,09/15/15 03:00:00 AM,2.837,0.0,2.85,,,,,
252,09/15/15 09:00:00 AM,10.651,35.0,2.85,,,,,
253,09/15/15 03:00:00 PM,12.110,20.0,2.85,,,,,
254,09/15/15 09:00:00 PM,5.962,0.0,2.85,,,,,
255,09/16/15 03:00:00 AM,6.166,0.0,2.85,,,,,
256,09/16/15 09:00:00 AM,8.779,8.0,2.87,,,,,
257,09/16/15 03:00:00 PM,10.846,3.0,2.85,,,,,
258,09/16/15 09:00:00 PM,7.983,0.0,2.87,,,,,
259,09/17/15 03:00:00 AM,6.775,0.0,2.85,,,,,
260,09/17/15 09:00:00 AM,8.182,2.0,2.85,,,,,
261,09/17/15 03:00:00 PM,9.768,1.0,2.85,,,,,
262,09/17/15 09:00:00 PM,8.082,0.0,2.85,,,,,
263,09/18/15 03:00:00 AM,3.683,0.0,2.83,,,,,
264,09/18/15 09:00:00 AM,6.268,8.0,2.83,,,,,
265,09/18/15 03:00:00 PM,12.883,6.0,2.87,,,,,
266,09/18/15 09:00:00 PM,6.978,0.0,2.85,,,,,
267,09/19/15 03:00:00 AM,4.934,0.0,2.83,,,,,
268,09/19/15 09:00:00 AM,8.779,24.0,2.85,,,,,
269,09/19/15 03:00:00 PM,15.187,6.0,2.87,,,,,
270,09/19/15 09:00:00 PM,8.382,0.0,2.87,,,,,
271,09/20/15 03:00:00 AM,6.978,0.0,2.85,,,,,
272,09/20/15 09:00:00 AM,9.866,9.0,2.85,,,,,
273,09/20/15 03:00:00 PM,16.237,6.0,2.87,,,,,
274,09/20/15 09:00:00 PM,8.779,0.0,2.87,,,,,
275,09/21/15 03:00:00 AM,10.063,0.0,2.85,,,,,
276,09/21/15 09:00:00 AM,12.594,5.0,2.87,,,,,
277,09/21/15 03:00:00 PM,15.664,6.0,2.87,,,,,
278,09/21/15 09:00:00 PM,8.581,0.0,2.87,,,,,
279,09/22/15 03:00:00 AM,9.965,0.0,2.85,,,,,
280,09/22/15 09:00:00 AM,11.334,27.0,2.85,,,,,
281,09/22/15 03:00:00 PM,13.942,6.0,2.89,,,,,
