Plot Title: 10166293,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,Coupler Attached,Stopped,End Of File
1,7/14/2015 21:00,12.883,0,2.89,,,,
2,7/15/2015 3:00,11.139,0,2.87,,,,
3,7/15/2015 9:00,12.304,160,2.89,,,,
4,7/15/2015 15:00,19.853,448,2.89,,,,
5,7/15/2015 21:00,13.461,0,2.89,,,,
6,7/16/2015 3:00,11.139,0,2.87,,,,
7,7/16/2015 9:00,11.528,272,2.87,,,,
8,7/16/2015 15:00,17.95,464,2.89,,,,
9,7/16/2015 21:00,11.722,0,2.87,,,,
10,7/17/2015 3:00,9.472,0,2.87,,,,
11,7/17/2015 9:00,12.594,200,2.87,,,,
12,7/17/2015 15:00,20.138,480,2.89,,,,
13,7/17/2015 21:00,15.569,0,2.89,,,,
14,7/18/2015 3:00,15.282,0,2.87,,,,
15,7/18/2015 9:00,18.045,176,2.89,,,,
16,7/18/2015 15:00,25.319,800,2.89,,,,
17,7/18/2015 21:00,19.567,0,2.91,,,,
18,7/19/2015 3:00,18.236,0,2.91,,,,
19,7/19/2015 9:00,20.043,176,2.89,,,,
20,7/19/2015 15:00,25.222,576,2.91,,,,
21,7/19/2015 21:00,19.567,0,2.91,,,,
22,7/20/2015 3:00,16.523,0,2.89,,,,
23,7/20/2015 9:00,17.189,168,2.89,,,,
24,7/20/2015 15:00,23.581,768,2.91,,,,
25,7/20/2015 21:00,17.57,0,2.91,,,,
26,7/21/2015 3:00,15.187,0,2.89,,,,
27,7/21/2015 9:00,15.76,176,2.89,,,,
28,7/21/2015 15:00,20.615,480,2.89,,,,
29,7/21/2015 21:00,12.497,0,2.89,,,,
30,7/22/2015 3:00,10.161,0,2.87,,,,
31,7/22/2015 9:00,10.748,184,2.87,,,,
32,7/22/2015 15:00,17.76,496,2.89,,,,
33,7/22/2015 21:00,11.334,0,2.87,,,,
34,7/23/2015 3:00,9.866,0,2.87,,,,
35,7/23/2015 9:00,11.916,176,2.89,,,,
36,7/23/2015 15:00,18.996,480,2.91,,,,
37,7/23/2015 21:00,13.654,0,2.89,,,,
38,7/24/2015 3:00,11.528,0,2.87,,,,
39,7/24/2015 9:00,13.654,168,2.89,,,,
40,7/24/2015 15:00,20.043,480,2.89,,,,
41,7/24/2015 21:00,15.091,0,2.87,,,,
42,7/25/2015 3:00,12.013,0,2.87,,,,
43,7/25/2015 9:00,12.69,256,2.89,,,,
44,7/25/2015 15:00,13.076,256,2.89,,,,
45,7/25/2015 21:00,11.334,0,2.87,,,,
46,7/26/2015 3:00,9.571,0,2.87,,,,
47,7/26/2015 9:00,9.571,168,2.87,,,,
48,7/26/2015 15:00,12.013,240,2.87,,,,
49,7/26/2015 21:00,9.768,0,2.85,,,,
50,7/27/2015 3:00,8.978,0,2.87,,,,
51,7/27/2015 9:00,10.161,288,2.85,,,,
52,7/27/2015 15:00,16.046,480,2.87,,,,
53,7/27/2015 21:00,10.846,0,2.87,,,,
54,7/28/2015 3:00,9.373,0,2.87,,,,
55,7/28/2015 9:00,13.173,168,2.87,,,,
