Plot Title: 10166300,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Coupler Attached,Coupler Detached,Stopped,End Of File
1,7/14/2015 21:00,11.431,0,3.12,,,,
2,7/15/2015 3:00,8.282,0,3.08,,,,
3,7/15/2015 9:00,16.237,960,3.05,,,,
4,7/15/2015 15:00,21.187,1792,3.05,,,,
5,7/15/2015 21:00,11.236,0,3.03,,,,
6,7/16/2015 3:00,8.382,0,3.01,,,,
7,7/16/2015 9:00,16.141,1152,3.01,,,,
8,7/16/2015 15:00,18.14,1024,3.01,,,,
9,7/16/2015 21:00,9.472,0,2.99,,,,
10,7/17/2015 3:00,6.877,0,2.95,,,,
11,7/17/2015 9:00,16.046,992,2.97,,,,
12,7/17/2015 15:00,20.519,896,2.97,,,,
13,7/17/2015 21:00,12.497,0,2.97,,,,
14,7/18/2015 3:00,11.916,0,2.95,,,,
15,7/18/2015 9:00,20.234,1152,2.95,,,,
16,7/18/2015 15:00,23.484,896,2.97,,,,
17,7/18/2015 21:00,16.141,0,2.95,,,,
18,7/19/2015 3:00,13.75,0,2.95,,,,
19,7/19/2015 9:00,22.333,512,2.95,,,,
20,7/19/2015 15:00,23.966,672,2.97,,,,
21,7/19/2015 21:00,15.378,0,2.93,,,,
22,7/20/2015 3:00,12.304,0,2.93,,,,
23,7/20/2015 9:00,19.948,512,2.93,,,,
24,7/20/2015 15:00,22.429,576,2.95,,,,
25,7/20/2015 21:00,14.038,0,2.93,,,,
26,7/21/2015 3:00,11.139,0,2.89,,,,
27,7/21/2015 9:00,18.996,512,2.91,,,,
28,7/21/2015 15:00,20.234,576,2.91,,,,
29,7/21/2015 21:00,9.669,0,2.89,,,,
30,7/22/2015 3:00,6.775,0,2.87,,,,
31,7/22/2015 9:00,14.421,576,2.89,,,,
32,7/22/2015 15:00,16.808,576,2.89,,,,
33,7/22/2015 21:00,8.382,0,2.87,,,,
34,7/23/2015 3:00,6.37,0,2.87,,,,
35,7/23/2015 9:00,13.846,512,2.89,,,,
36,7/23/2015 15:00,17.475,512,2.89,,,,
37,7/23/2015 21:00,10.455,0,2.87,,,,
38,7/24/2015 3:00,8.082,0,2.87,,,,
39,7/24/2015 9:00,16.237,512,2.87,,,,
40,7/24/2015 15:00,18.616,512,2.91,,,,
41,7/24/2015 21:00,11.722,0,2.87,,,,
42,7/25/2015 3:00,9.373,0,2.87,,,,
