Plot Title: 10166287,,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,Good Battery,Coupler Attached,Stopped,End Of File
1,7/13/2015 21:00,11.625,0,3.08,,,,,
2,7/14/2015 3:00,7.179,0,3.03,,,,,
3,7/14/2015 9:00,26.683,1280,3.1,,,,,
4,7/14/2015 15:00,31.064,2176,3.12,,,,,
5,7/14/2015 21:00,9.768,0,3.03,,,,,
6,7/15/2015 3:00,5.45,0,2.99,,,,,
7,7/15/2015 9:00,32.497,10752,3.08,,,,,
8,7/15/2015 15:00,29.552,2048,3.12,,,,,
9,7/15/2015 21:00,10.063,0,3.03,,,,,
10,7/16/2015 3:00,6.37,0,2.99,,,,,
11,7/16/2015 9:00,25.319,12800,3.05,,,,,
12,7/16/2015 15:00,27.862,2176,3.1,,,,,
13,7/16/2015 21:00,8.779,0,3.03,,,,,
14,7/17/2015 3:00,4.727,0,2.99,,,,,
15,7/17/2015 9:00,29.853,8704,3.03,,,,,
16,7/17/2015 15:00,30.054,1920,3.08,,,,,
17,7/17/2015 21:00,10.944,0,3.01,,,,,
18,7/18/2015 3:00,9.472,0,3.01,,,,,
19,7/18/2015 9:00,41.928,15872,3.05,,,,,
20,7/18/2015 15:00,33.848,1920,3.1,,,,,
21,7/18/2015 21:00,14.996,0,3.05,,,,,
22,7/19/2015 3:00,10.651,0,2.99,,,,,
23,7/19/2015 9:00,36.728,14336,3.05,,,,,
24,7/19/2015 15:00,33.848,1856,3.1,,,,,
25,7/19/2015 21:00,14.421,0,3.03,,,,,
26,7/20/2015 3:00,9.669,0,2.97,,,,,
27,7/20/2015 9:00,36.403,15360,3.03,,,,,
28,7/20/2015 15:00,32.6,1856,3.08,,,,,
29,7/20/2015 21:00,13.076,0,3.01,,,,,
30,7/21/2015 3:00,8.382,0,2.97,,,,,
31,7/21/2015 9:00,34.374,13824,3.03,,,,,
32,7/21/2015 15:00,30.356,1920,3.05,,,,,
33,7/21/2015 21:00,8.282,0,2.99,,,,,
34,7/22/2015 3:00,4.415,0,2.95,,,,,
35,7/22/2015 9:00,30.659,9216,3.01,,,,,
36,7/22/2015 15:00,28.06,2176,3.05,,,,,
37,7/22/2015 21:00,7.381,0,2.97,,,,,
38,7/23/2015 3:00,3.788,0,2.93,,,,,
39,7/23/2015 9:00,30.255,11776,2.99,,,,,
40,7/23/2015 15:00,28.555,2048,3.05,,,,,
41,7/23/2015 21:00,9.866,0,2.95,,,,,
42,7/24/2015 3:00,6.166,0,2.93,,,,,
43,7/24/2015 9:00,30.255,4352,2.99,,,,,
44,7/24/2015 15:00,29.452,1920,3.05,,,,,
45,7/24/2015 21:00,11.236,0,2.97,,,,,
46,7/25/2015 3:00,8.779,0,2.95,,,,,
47,7/25/2015 9:00,28.258,4352,2.99,,,,,
48,7/25/2015 15:00,30.054,4096,2.99,,,,,
49,7/25/2015 21:00,13.461,0,2.95,,,,,
50,7/26/2015 3:00,10.944,0,2.91,,,,,
51,7/26/2015 9:00,20.138,3200,2.93,,,,,
52,7/26/2015 15:00,23.869,2816,2.97,,,,,
53,7/26/2015 21:00,8.978,0,2.91,,,,,
54,7/27/2015 3:00,9.275,0,2.89,,,,,
55,7/27/2015 9:00,27.272,6912,2.93,,,,,
56,7/27/2015 15:00,25.902,2048,2.99,,,,,
57,7/27/2015 21:00,6.877,0,2.91,,,,,
58,7/28/2015 3:00,3.998,0,2.89,,,,,
59,7/28/2015 9:00,24.835,3456,2.97,,,,,
60,7/28/2015 15:00,31.983,1856,3.01,,,,,
61,7/28/2015 21:00,13.365,0,2.97,,,,,
62,7/29/2015 3:00,10.455,0,2.93,,,,,
63,7/29/2015 9:00,31.472,4864,2.97,,,,,
64,7/29/2015 15:00,35.756,1728,3.03,,,,,
65,7/29/2015 21:00,16.523,0,2.97,,,,,
66,7/30/2015 3:00,12.11,0,2.95,,,,,
67,7/30/2015 9:00,33.743,5888,2.99,,,,,
68,7/30/2015 15:00,38.268,1792,3.03,,,,,
69,7/30/2015 21:00,17.76,0,2.99,,,,,
70,7/31/2015 3:00,14.134,0,2.97,,,,,
71,7/31/2015 9:00,35.435,7936,2.99,,,,,
72,7/31/2015 15:00,38.602,1728,3.03,,,,,
73,7/31/2015 21:00,16.808,0,2.97,,,,,
74,8/1/2015 3:00,12.207,0,2.93,,,,,
75,8/1/2015 9:00,29.252,4096,2.97,,,,,
76,8/1/2015 15:00,41.692,3200,3.01,,,,,
77,8/1/2015 21:00,17.855,0,2.97,,,,,
78,8/2/2015 3:00,13.173,0,2.91,,,,,
79,8/2/2015 9:00,27.567,3072,2.95,,,,,
80,8/2/2015 15:00,35.115,3072,2.95,,,,,
81,8/2/2015 21:00,16.332,0,2.91,,,,,
82,8/3/2015 3:00,15.091,0,2.89,,,,,
83,8/3/2015 9:00,29.552,3968,2.93,,,,,
84,8/3/2015 15:00,28.555,2816,2.93,,,,,
85,8/3/2015 21:00,12.497,0,2.87,,,,,
86,8/4/2015 3:00,8.68,0,2.87,,,,,
87,8/4/2015 9:00,29.853,4352,2.91,,,,,
88,8/4/2015 15:00,30.963,2176,2.97,,,,,
89,8/4/2015 21:00,10.063,0,2.89,,,,,
90,8/5/2015 3:00,5.037,0,2.87,,,,,
91,8/5/2015 9:00,35.756,11264,2.93,,,,,
92,8/5/2015 15:00,26.977,1728,2.97,,,,,
93,8/5/2015 21:00,7.682,0,2.89,,,,,
94,8/6/2015 3:00,5.037,0,2.87,,,,,
95,8/6/2015 9:00,36.403,10240,2.93,,,,,
96,8/6/2015 15:00,28.655,1728,2.99,,,,,
97,8/6/2015 21:00,10.553,0,2.91,,,,,
98,8/7/2015 3:00,6.471,0,2.87,,,,,
99,8/7/2015 9:00,37.165,9728,2.95,,,,,
100,8/7/2015 15:00,29.853,1664,2.97,,,,,
101,8/7/2015 21:00,10.455,0,2.91,,,,,
102,8/8/2015 3:00,6.877,0,2.87,,,,,
103,8/8/2015 9:00,38.938,9728,2.95,,,,,
104,8/8/2015 15:00,28.357,2176,2.97,,,,,
105,8/8/2015 21:00,14.134,0,2.93,,,,,
106,8/9/2015 3:00,10.553,0,2.89,,,,,
107,8/9/2015 9:00,30.76,5376,2.93,,,,,
108,8/9/2015 15:00,30.862,2432,2.97,,,,,
109,8/9/2015 21:00,15.187,0,2.91,,,,,
110,8/10/2015 3:00,7.582,0,2.89,,,,,
