"Plot Title: 10166318"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Bad Battery","End Of File"
1,07/13/15 09:00:00 PM,13.846,0.0,2.89,,
2,07/14/15 03:00:00 AM,12.207,0.0,2.87,,
3,07/14/15 09:00:00 AM,12.883,62.0,2.89,,
4,07/14/15 03:00:00 PM,20.138,512.0,2.89,,
5,07/14/15 09:00:00 PM,14.038,0.0,2.89,,
6,07/15/15 03:00:00 AM,11.916,0.0,2.87,,
7,07/15/15 09:00:00 AM,12.207,46.0,2.87,,
8,07/15/15 03:00:00 PM,20.710,512.0,2.89,,
9,07/15/15 09:00:00 PM,14.517,0.0,2.89,,
10,07/16/15 03:00:00 AM,11.916,0.0,2.87,,
11,07/16/15 09:00:00 AM,11.528,65.0,2.87,,
12,07/16/15 03:00:00 PM,18.806,512.0,2.89,,
13,07/16/15 09:00:00 PM,12.980,0.0,2.89,,
14,07/17/15 03:00:00 AM,10.357,0.0,2.87,,
15,07/17/15 09:00:00 AM,11.819,82.0,2.87,,
16,07/17/15 03:00:00 PM,21.855,512.0,2.89,,
17,07/17/15 09:00:00 PM,16.046,0.0,2.89,,
18,07/18/15 03:00:00 AM,14.421,0.0,2.89,,
19,07/18/15 09:00:00 AM,17.189,47.0,2.89,,
20,07/18/15 03:00:00 PM,25.610,512.0,2.91,,
21,07/18/15 09:00:00 PM,20.138,0.0,2.89,,
22,07/19/15 03:00:00 AM,18.236,0.0,2.91,,
23,07/19/15 09:00:00 AM,18.236,45.0,2.91,,
24,07/19/15 03:00:00 PM,26.488,512.0,2.91,,
25,07/19/15 09:00:00 PM,19.758,0.0,2.89,,
26,07/20/15 03:00:00 AM,15.855,0.0,2.89,,
27,07/20/15 09:00:00 AM,15.951,44.0,2.89,,
28,07/20/15 03:00:00 PM,24.835,576.0,2.93,,
29,07/20/15 09:00:00 PM,18.045,0.0,2.91,,
30,07/21/15 03:00:00 AM,14.996,0.0,2.91,,
31,07/21/15 09:00:00 AM,14.709,46.0,2.89,,
32,07/21/15 03:00:00 PM,21.951,576.0,2.91,,
33,07/21/15 09:00:00 PM,12.787,0.0,2.89,,
34,07/22/15 03:00:00 AM,10.651,0.0,2.87,,
35,07/22/15 09:00:00 AM,10.455,42.0,2.87,,
36,07/22/15 03:00:00 PM,18.996,960.0,2.91,,
37,07/22/15 09:00:00 PM,12.110,0.0,2.87,,
38,07/23/15 03:00:00 AM,10.063,0.0,2.87,,
39,07/23/15 09:00:00 AM,10.553,46.0,2.87,,
40,07/23/15 03:00:00 PM,19.853,1024.0,2.89,,
41,07/23/15 09:00:00 PM,14.134,0.0,2.89,,
42,07/24/15 03:00:00 AM,11.819,0.0,2.87,,
43,07/24/15 09:00:00 AM,12.304,46.0,2.87,,
44,07/24/15 03:00:00 PM,20.710,576.0,2.89,,
45,07/24/15 09:00:00 PM,15.282,0.0,2.87,,
46,07/25/15 03:00:00 AM,12.304,0.0,2.87,,
47,07/25/15 09:00:00 AM,12.594,126.0,2.87,,
48,07/25/15 03:00:00 PM,14.134,200.0,2.89,,
49,07/25/15 09:00:00 PM,11.625,0.0,2.87,,
