Plot Title: 10166322,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Coupler Attached,Stopped,End Of File
1,7/13/2015 15:00,18.996,152,3.17,,,
2,7/13/2015 21:00,13.75,0,3.12,,,
3,7/14/2015 3:00,11.431,0,3.08,,,
4,7/14/2015 9:00,13.173,160,3.08,,,
5,7/14/2015 15:00,20.996,608,3.08,,,
6,7/14/2015 21:00,13.75,0,3.05,,,
7,7/15/2015 3:00,10.748,0,3.01,,,
8,7/15/2015 9:00,12.401,136,3.01,,,
9,7/15/2015 15:00,21.569,608,3.05,,,
10,7/15/2015 21:00,13.846,0,3.03,,,
11,7/16/2015 3:00,11.236,0,2.99,,,
12,7/16/2015 9:00,11.916,160,2.99,,,
13,7/16/2015 15:00,19.567,576,3.03,,,
14,7/16/2015 21:00,12.401,0,2.99,,,
15,7/17/2015 3:00,9.669,0,2.95,,,
16,7/17/2015 9:00,12.207,184,2.97,,,
17,7/17/2015 15:00,22.525,608,3.01,,,
18,7/17/2015 21:00,14.9,0,2.99,,,
19,7/18/2015 3:00,12.594,0,2.97,,,
20,7/18/2015 9:00,16.999,136,2.97,,,
21,7/18/2015 15:00,26.39,608,3.01,,,
22,7/18/2015 21:00,18.901,0,3.01,,,
23,7/19/2015 3:00,16.237,0,2.97,,,
24,7/19/2015 9:00,17.665,128,2.97,,,
25,7/19/2015 15:00,27.173,576,2.99,,,
26,7/19/2015 21:00,19.092,0,2.99,,,
27,7/20/2015 3:00,14.804,0,2.97,,,
28,7/20/2015 9:00,16.046,128,2.95,,,
29,7/20/2015 15:00,25.61,576,2.97,,,
30,7/20/2015 21:00,17.379,0,2.97,,,
31,7/21/2015 3:00,13.846,0,2.95,,,
32,7/21/2015 9:00,15.091,136,2.93,,,
33,7/21/2015 15:00,22.717,576,2.97,,,
34,7/21/2015 21:00,12.883,0,2.95,,,
35,7/22/2015 3:00,9.768,0,2.91,,,
36,7/22/2015 9:00,11.139,91,2.91,,,
37,7/22/2015 15:00,19.567,608,2.95,,,
38,7/22/2015 21:00,12.013,0,2.91,,,
39,7/23/2015 3:00,9.176,0,2.91,,,
40,7/23/2015 9:00,11.139,136,2.89,,,
41,7/23/2015 15:00,21.187,608,2.93,,,
42,7/23/2015 21:00,13.942,0,2.93,,,
43,7/24/2015 3:00,11.041,0,2.91,,,
44,7/24/2015 9:00,12.98,136,2.91,,,
45,7/24/2015 15:00,21.664,576,2.93,,,
46,7/24/2015 21:00,15.378,0,2.91,,,
