Plot Title: 10166323,,,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,Coupler Attached,Coupler Detached,Host Connected,Stopped,End Of File
1,7/14/2015 21:00,12.304,0,3.08,,,,,,
2,7/15/2015 3:00,9.571,0,3.03,,,,,,
3,7/15/2015 9:00,18.901,336,3.05,,,,,,
4,7/15/2015 15:00,18.806,200,3.03,,,,,,
5,7/15/2015 21:00,12.207,0,2.99,,,,,,
6,7/16/2015 3:00,9.768,0,2.95,,,,,,
7,7/16/2015 9:00,15.378,464,2.97,,,,,,
8,7/16/2015 15:00,16.808,208,2.97,,,,,,
9,7/16/2015 21:00,10.161,0,2.91,,,,,,
10,7/17/2015 3:00,8.182,0,2.91,,,,,,
11,7/17/2015 9:00,16.713,448,2.93,,,,,,
12,7/17/2015 15:00,18.996,176,2.97,,,,,,
13,7/17/2015 21:00,13.75,0,2.93,,,,,,
14,7/18/2015 3:00,13.269,0,2.91,,,,,,
15,7/18/2015 9:00,24.062,304,2.97,,,,,,
16,7/18/2015 15:00,22.812,192,2.95,,,,,,
17,7/18/2015 21:00,17.284,0,2.93,,,,,,
18,7/19/2015 3:00,14.9,0,2.91,,,,,,
19,7/19/2015 9:00,26,256,2.95,,,,,,
20,7/19/2015 15:00,23.773,184,2.95,,,,,,
21,7/19/2015 21:00,16.999,0,2.91,,,,,,
22,7/20/2015 3:00,13.654,0,2.89,,,,,,
23,7/20/2015 9:00,23.196,248,2.93,,,,,,
24,7/20/2015 15:00,22.621,184,2.91,,,,,,
25,7/20/2015 21:00,15.473,0,2.87,,,,,,
26,7/21/2015 3:00,12.497,0,2.85,,,,,,
27,7/21/2015 9:00,21.664,248,2.89,,,,,,
28,7/21/2015 15:00,19.853,184,2.89,,,,,,
29,7/21/2015 21:00,10.846,0,2.85,,,,,,
30,7/22/2015 3:00,8.382,0,2.83,,,,,,
31,7/22/2015 9:00,16.808,256,2.85,,,,,,
32,7/22/2015 15:00,16.903,184,2.85,,,,,,
33,7/22/2015 21:00,9.669,0,2.83,,,,,,
34,7/23/2015 3:00,7.782,0,2.81,,,,,,
35,7/23/2015 9:00,16.523,240,2.85,,,,,,
36,7/23/2015 15:00,17.855,176,2.85,,,,,,
37,7/23/2015 21:00,11.722,0,2.85,,,,,,
38,7/24/2015 3:00,9.373,0,2.83,,,,,,
39,7/24/2015 9:00,19.472,232,2.87,,,,,,
40,7/24/2015 15:00,18.996,168,2.87,,,,,,
41,7/24/2015 21:00,13.076,0,2.85,,,,,,
42,7/25/2015 3:00,10.455,0,2.81,,,,,,
43,7/25/2015 9:00,14.038,400,2.85,,,,,,
44,7/25/2015 15:00,14.23,288,2.85,,,,,,
45,7/25/2015 21:00,11.041,0,2.83,,,,,,
46,7/26/2015 3:00,9.275,0,2.81,,,,,,
47,7/26/2015 9:00,10.455,320,2.81,,,,,,
48,7/26/2015 15:00,13.269,272,2.83,,,,,,
49,7/26/2015 21:00,9.176,0,2.81,,,,,,
50,7/27/2015 3:00,8.282,0,2.79,,,,,,
