Plot Title: 10169166,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,End Of File
1,7/13/2015 21:00,13.461,0,2.87,,
2,7/14/2015 3:00,11.819,0,2.85,,
3,7/14/2015 9:00,12.69,106,2.87,,
4,7/14/2015 15:00,19.092,304,2.89,,
5,7/14/2015 21:00,13.558,0,2.87,,
6,7/15/2015 3:00,11.431,0,2.85,,
7,7/15/2015 9:00,11.916,78,2.85,,
8,7/15/2015 15:00,19.567,288,2.89,,
9,7/15/2015 21:00,14.134,0,2.87,,
10,7/16/2015 3:00,11.431,0,2.85,,
11,7/16/2015 9:00,11.334,121,2.85,,
12,7/16/2015 15:00,17.665,304,2.87,,
13,7/16/2015 21:00,12.594,0,2.87,,
14,7/17/2015 3:00,10.063,0,2.85,,
15,7/17/2015 9:00,11.819,144,2.85,,
16,7/17/2015 15:00,20.615,288,2.87,,
17,7/17/2015 21:00,15.855,0,2.87,,
18,7/18/2015 3:00,13.942,0,2.87,,
19,7/18/2015 9:00,15.76,79,2.87,,
20,7/18/2015 15:00,23.869,272,2.91,,
21,7/18/2015 21:00,19.853,0,2.87,,
22,7/19/2015 3:00,17.95,0,2.89,,
23,7/19/2015 9:00,17.95,77,2.89,,
24,7/19/2015 15:00,25.125,272,2.89,,
25,7/19/2015 21:00,19.377,0,2.91,,
26,7/20/2015 3:00,15.569,0,2.87,,
27,7/20/2015 9:00,15.569,73,2.87,,
28,7/20/2015 15:00,23.869,272,2.91,,
29,7/20/2015 21:00,17.76,0,2.89,,
30,7/21/2015 3:00,14.804,0,2.89,,
31,7/21/2015 9:00,14.421,76,2.89,,
32,7/21/2015 15:00,21.378,288,2.89,,
33,7/21/2015 21:00,12.594,0,2.87,,
34,7/22/2015 3:00,10.357,0,2.87,,
35,7/22/2015 9:00,10.357,72,2.85,,
36,7/22/2015 15:00,18.331,288,2.89,,
37,7/22/2015 21:00,11.819,0,2.87,,
38,7/23/2015 3:00,9.669,0,2.85,,
39,7/23/2015 9:00,10.357,74,2.85,,
40,7/23/2015 15:00,18.996,272,2.89,,
41,7/23/2015 21:00,13.75,0,2.89,,
42,7/24/2015 3:00,11.431,0,2.87,,
43,7/24/2015 9:00,12.207,73,2.87,,
44,7/24/2015 15:00,20.234,272,2.89,,
45,7/24/2015 21:00,14.9,0,2.89,,
46,7/25/2015 3:00,12.013,0,2.87,,
47,7/25/2015 9:00,13.173,272,2.87,,
48,7/25/2015 15:00,14.613,416,2.89,,
49,7/25/2015 21:00,11.625,0,2.87,,
50,7/26/2015 3:00,9.866,0,2.85,,
51,7/26/2015 9:00,10.357,240,2.85,,
52,7/26/2015 15:00,12.401,256,2.87,,
53,7/26/2015 21:00,9.866,0,2.85,,
