#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",End Of File
1,7/15/2015 9:00,13.558,464,2.93,
2,7/15/2015 15:00,25.028,768,2.91,
3,7/15/2015 21:00,13.942,0,2.93,
4,7/16/2015 3:00,11.236,0,2.91,
5,7/16/2015 9:00,12.787,432,2.93,
6,7/16/2015 15:00,23.484,768,2.93,
7,7/16/2015 21:00,12.401,0,2.93,
8,7/17/2015 3:00,10.553,0,2.91,
9,7/17/2015 9:00,13.269,304,2.93,
10,7/17/2015 15:00,25.708,800,2.91,
11,7/17/2015 21:00,16.618,0,2.93,
12,7/18/2015 3:00,15.378,0,2.91,
13,7/18/2015 9:00,19.472,232,2.93,
14,7/18/2015 15:00,30.356,864,2.91,
15,7/18/2015 21:00,19.853,0,2.93,
16,7/19/2015 3:00,18.14,0,2.93,
17,7/19/2015 9:00,20.234,288,2.93,
18,7/19/2015 15:00,31.166,864,2.93,
19,7/19/2015 21:00,19.567,0,2.95,
20,7/20/2015 3:00,15.569,0,2.93,
21,7/20/2015 9:00,17.475,384,2.93,
22,7/20/2015 15:00,29.452,896,2.93,
23,7/20/2015 21:00,17.76,0,2.93,
24,7/21/2015 3:00,14.804,0,2.95,
25,7/21/2015 9:00,16.332,464,2.93,
26,7/21/2015 15:00,26.292,864,2.93,
27,7/21/2015 21:00,12.594,0,2.93,
28,7/22/2015 3:00,10.161,0,2.91,
29,7/22/2015 9:00,12.304,704,2.93,
30,7/22/2015 15:00,23.292,960,2.93,
31,7/22/2015 21:00,11.722,0,2.93,
32,7/23/2015 3:00,9.571,0,2.93,
33,7/23/2015 9:00,12.207,896,2.93,
34,7/23/2015 15:00,24.641,992,2.93,
35,7/23/2015 21:00,13.75,0,2.93,
36,7/24/2015 3:00,10.944,0,2.91,
37,7/24/2015 9:00,13.076,896,2.93,
38,7/24/2015 15:00,25.61,1024,2.91,
39,7/24/2015 21:00,14.996,0,2.93,
40,7/25/2015 3:00,12.11,0,2.93,
41,7/25/2015 9:00,13.558,496,2.93,
42,7/25/2015 15:00,19.092,368,2.93,
43,7/25/2015 21:00,11.431,0,2.91,
44,7/26/2015 3:00,9.866,0,2.91,
45,7/26/2015 9:00,10.846,168,2.91,
46,7/26/2015 15:00,13.558,256,2.93,
47,7/26/2015 21:00,10.161,0,2.91,
48,7/27/2015 3:00,9.077,0,2.91,
49,7/27/2015 9:00,10.553,192,2.91,
50,7/27/2015 15:00,20.996,1216,2.91,
51,7/27/2015 21:00,11.334,0,2.91,
52,7/28/2015 3:00,9.965,0,2.91,
53,7/28/2015 9:00,13.269,160,2.91,
54,7/28/2015 15:00,27.665,1472,2.91,
55,7/28/2015 21:00,17.95,0,2.93,
56,7/29/2015 3:00,16.141,0,2.91,
57,7/29/2015 9:00,19.472,160,2.93,
58,7/29/2015 15:00,30.457,1600,2.91,
59,7/29/2015 21:00,21.76,0,2.93,
60,7/30/2015 3:00,21.091,0,2.93,
61,7/30/2015 9:00,23.388,152,2.93,
62,7/30/2015 15:00,35.009,672,2.91,
63,7/30/2015 21:00,23.388,0,2.95,
64,7/31/2015 3:00,21.855,0,2.93,
65,7/31/2015 9:00,24.062,144,2.95,
66,7/31/2015 15:00,33.43,672,2.93,
67,7/31/2015 21:00,23.292,0,2.95,
68,8/1/2015 3:00,21.664,0,2.93,
69,8/1/2015 9:00,24.158,248,2.95,
70,8/1/2015 15:00,32.807,576,2.93,
71,8/1/2015 21:00,22.621,0,2.95,
72,8/2/2015 3:00,19.472,0,2.95,
73,8/2/2015 9:00,21.187,248,2.93,
74,8/2/2015 15:00,24.545,432,2.95,
75,8/2/2015 21:00,20.901,0,2.93,
76,8/3/2015 3:00,18.901,0,2.95,
77,8/3/2015 9:00,20.424,256,2.93,
78,8/3/2015 15:00,21.091,400,2.93,
79,8/3/2015 21:00,16.046,0,2.93,
80,8/4/2015 3:00,14.613,0,2.95,
81,8/4/2015 9:00,16.427,176,2.93,
82,8/4/2015 15:00,23.004,448,2.93,
83,8/4/2015 21:00,14.9,0,2.95,
84,8/5/2015 3:00,12.11,0,2.93,
85,8/5/2015 9:00,13.558,136,2.93,
86,8/5/2015 15:00,20.234,480,2.93,
87,8/5/2015 21:00,13.269,0,2.93,
88,8/6/2015 3:00,11.528,0,2.93,
89,8/6/2015 9:00,12.98,128,2.93,
90,8/6/2015 15:00,21.473,464,2.93,
91,8/6/2015 21:00,14.804,0,2.95,
92,8/7/2015 3:00,12.69,0,2.93,
93,8/7/2015 9:00,15.282,136,2.93,
94,8/7/2015 15:00,22.525,480,2.93,
