"Plot Title: 10169168"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","End Of File"
1,06/30/16 03:00:00 PM,23.292,2432.0,2.70,
2,06/30/16 09:00:00 PM,12.690,0.0,2.67,
3,07/01/16 03:00:00 AM,10.651,0.0,2.65,
4,07/01/16 09:00:00 AM,12.013,192.0,2.65,
5,07/01/16 03:00:00 PM,24.255,4352.0,2.68,
6,07/01/16 09:00:00 PM,14.709,0.0,2.67,
7,07/02/16 03:00:00 AM,12.690,0.0,2.65,
8,07/02/16 09:00:00 AM,14.230,152.0,2.67,
9,07/02/16 03:00:00 PM,25.610,5120.0,2.68,
10,07/02/16 09:00:00 PM,14.709,0.0,2.67,
11,07/03/16 03:00:00 AM,11.916,0.0,2.65,
12,07/03/16 09:00:00 AM,12.110,176.0,2.65,
13,07/03/16 03:00:00 PM,23.581,5376.0,2.68,
14,07/03/16 09:00:00 PM,12.207,0.0,2.65,
15,07/04/16 03:00:00 AM,9.571,0.0,2.65,
16,07/04/16 09:00:00 AM,10.357,168.0,2.63,
17,07/04/16 03:00:00 PM,23.100,4608.0,2.68,
18,07/04/16 09:00:00 PM,10.748,0.0,2.63,
19,07/05/16 03:00:00 AM,8.680,0.0,2.63,
20,07/05/16 09:00:00 AM,9.866,160.0,2.63,
21,07/05/16 03:00:00 PM,21.664,3072.0,2.67,
22,07/05/16 09:00:00 PM,10.748,0.0,2.63,
23,07/06/16 03:00:00 AM,9.077,0.0,2.63,
24,07/06/16 09:00:00 AM,10.748,272.0,2.63,
25,07/06/16 03:00:00 PM,21.664,2432.0,2.67,
26,07/06/16 09:00:00 PM,12.690,0.0,2.65,
27,07/07/16 03:00:00 AM,10.259,0.0,2.63,
28,07/07/16 09:00:00 AM,12.594,384.0,2.65,
29,07/07/16 03:00:00 PM,20.138,800.0,2.65,
30,07/07/16 09:00:00 PM,10.846,0.0,2.63,
31,07/08/16 03:00:00 AM,9.768,0.0,2.63,
32,07/08/16 09:00:00 AM,9.866,128.0,2.62,
33,07/08/16 03:00:00 PM,11.431,448.0,2.63,
34,07/08/16 09:00:00 PM,9.373,0.0,2.63,
35,07/09/16 03:00:00 AM,8.182,0.0,2.63,
36,07/09/16 09:00:00 AM,8.879,320.0,2.63,
37,07/09/16 03:00:00 PM,10.944,208.0,2.63,
38,07/09/16 09:00:00 PM,7.782,0.0,2.62,
39,07/10/16 03:00:00 AM,6.573,0.0,2.62,
40,07/10/16 09:00:00 AM,5.962,208.0,2.60,
41,07/10/16 03:00:00 PM,7.481,248.0,2.62,
42,07/10/16 09:00:00 PM,7.983,0.0,2.62,
43,07/11/16 03:00:00 AM,7.782,0.0,2.62,
44,07/11/16 09:00:00 AM,8.779,160.0,2.62,
45,07/11/16 03:00:00 PM,15.473,448.0,2.63,
46,07/11/16 09:00:00 PM,10.651,0.0,2.62,
47,07/12/16 03:00:00 AM,9.373,0.0,2.62,
48,07/12/16 09:00:00 AM,9.768,336.0,2.60,
49,07/12/16 03:00:00 PM,14.517,704.0,2.63,
50,07/12/16 09:00:00 PM,9.669,0.0,2.60,
51,07/13/16 03:00:00 AM,8.581,0.0,2.62,
52,07/13/16 09:00:00 AM,10.161,144.0,2.62,
53,07/13/16 03:00:00 PM,19.472,768.0,2.65,
54,07/13/16 09:00:00 PM,12.787,0.0,2.63,
55,07/14/16 03:00:00 AM,11.334,0.0,2.62,
56,07/14/16 09:00:00 AM,12.401,144.0,2.63,
57,07/14/16 03:00:00 PM,20.996,704.0,2.65,
58,07/14/16 09:00:00 PM,12.690,0.0,2.63,
59,07/15/16 03:00:00 AM,10.259,0.0,2.62,
60,07/15/16 09:00:00 AM,10.553,160.0,2.62,
61,07/15/16 03:00:00 PM,17.189,512.0,2.63,
62,07/15/16 09:00:00 PM,10.161,0.0,2.62,
63,07/16/16 03:00:00 AM,8.581,0.0,2.62,
64,07/16/16 09:00:00 AM,9.373,176.0,2.62,
65,07/16/16 03:00:00 PM,16.903,1152.0,2.63,
66,07/16/16 09:00:00 PM,10.944,0.0,2.62,
67,07/17/16 03:00:00 AM,9.768,0.0,2.60,
68,07/17/16 09:00:00 AM,11.041,448.0,2.62,
69,07/17/16 03:00:00 PM,16.046,864.0,2.62,
70,07/17/16 09:00:00 PM,11.139,0.0,2.62,
71,07/18/16 03:00:00 AM,10.063,0.0,2.60,
72,07/18/16 09:00:00 AM,11.041,496.0,2.62,
73,07/18/16 03:00:00 PM,14.613,448.0,2.63,
74,07/18/16 09:00:00 PM,10.846,0.0,2.60,
75,07/19/16 03:00:00 AM,9.965,0.0,2.60,
76,07/19/16 09:00:00 AM,11.139,432.0,2.60,
77,07/19/16 03:00:00 PM,16.237,864.0,2.62,
78,07/19/16 09:00:00 PM,10.846,0.0,2.60,
79,07/20/16 03:00:00 AM,9.669,0.0,2.60,
80,07/20/16 09:00:00 AM,11.722,144.0,2.62,
81,07/20/16 03:00:00 PM,19.377,1728.0,2.63,
82,07/20/16 09:00:00 PM,14.134,0.0,2.63,
83,07/21/16 03:00:00 AM,12.980,0.0,2.62,
84,07/21/16 09:00:00 AM,14.517,144.0,2.63,
85,07/21/16 03:00:00 PM,19.758,512.0,2.63,
86,07/21/16 09:00:00 PM,12.401,0.0,2.62,
87,07/22/16 03:00:00 AM,9.176,0.0,2.62,
88,07/22/16 09:00:00 AM,10.553,416.0,2.60,
89,07/22/16 03:00:00 PM,17.475,1664.0,2.63,
90,07/22/16 09:00:00 PM,11.528,0.0,2.62,
91,07/23/16 03:00:00 AM,9.965,0.0,2.60,
92,07/23/16 09:00:00 AM,11.139,136.0,2.62,
93,07/23/16 03:00:00 PM,20.234,768.0,2.63,
94,07/23/16 09:00:00 PM,13.558,0.0,2.62,
95,07/24/16 03:00:00 AM,12.401,0.0,2.62,
96,07/24/16 09:00:00 AM,15.282,136.0,2.62,
97,07/24/16 03:00:00 PM,25.610,864.0,2.65,
98,07/24/16 09:00:00 PM,16.237,0.0,2.63,
99,07/25/16 03:00:00 AM,13.750,0.0,2.63,
100,07/25/16 09:00:00 AM,14.900,144.0,2.63,
101,07/25/16 03:00:00 PM,24.351,576.0,2.67,
102,07/25/16 09:00:00 PM,15.569,0.0,2.63,
103,07/26/16 03:00:00 AM,13.654,0.0,2.63,
104,07/26/16 09:00:00 AM,14.709,136.0,2.63,
105,07/26/16 03:00:00 PM,24.255,512.0,2.67,
106,07/26/16 09:00:00 PM,15.855,0.0,2.63,
107,07/27/16 03:00:00 AM,14.038,0.0,2.63,
108,07/27/16 09:00:00 AM,15.187,136.0,2.62,
109,07/27/16 03:00:00 PM,25.610,576.0,2.65,
110,07/27/16 09:00:00 PM,17.094,0.0,2.63,
111,07/28/16 03:00:00 AM,15.569,0.0,2.63,
112,07/28/16 09:00:00 AM,18.236,136.0,2.65,
