"Plot Title: 10166267"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Bad Battery","Coupler Attached","Coupler Detached","Stopped","End Of File"
1,05/25/17 03:00:00 PM,10.259,30.0,3.03,,,,,
2,05/25/17 09:00:00 PM,6.877,0.0,2.99,,,,,
3,05/26/17 03:00:00 AM,6.471,0.0,2.99,,,,,
4,05/26/17 09:00:00 AM,11.431,272.0,3.01,,,,,
5,05/26/17 03:00:00 PM,14.325,272.0,3.03,,,,,
6,05/26/17 09:00:00 PM,10.651,0.0,2.99,,,,,
7,05/27/17 03:00:00 AM,8.879,0.0,2.97,,,,,
8,05/27/17 09:00:00 AM,16.523,304.0,3.01,,,,,
9,05/27/17 03:00:00 PM,19.377,112.0,3.03,,,,,
10,05/27/17 09:00:00 PM,12.883,0.0,2.99,,,,,
11,05/28/17 03:00:00 AM,11.041,0.0,2.95,,,,,
12,05/28/17 09:00:00 AM,16.903,288.0,2.99,,,,,
13,05/28/17 03:00:00 PM,21.282,288.0,3.01,,,,,
14,05/28/17 09:00:00 PM,13.750,0.0,2.97,,,,,
15,05/29/17 03:00:00 AM,11.431,0.0,2.93,,,,,
16,05/29/17 09:00:00 AM,18.331,256.0,2.97,,,,,
17,05/29/17 03:00:00 PM,21.091,304.0,2.99,,,,,
18,05/29/17 09:00:00 PM,14.421,0.0,2.95,,,,,
19,05/30/17 03:00:00 AM,12.207,0.0,2.91,,,,,
20,05/30/17 09:00:00 AM,10.846,232.0,2.89,,,,,
21,05/30/17 03:00:00 PM,9.571,96.0,2.89,,,,,
22,05/30/17 09:00:00 PM,8.879,0.0,2.87,,,,,
23,05/31/17 03:00:00 AM,7.179,0.0,2.85,,,,,
24,05/31/17 09:00:00 AM,10.161,304.0,2.85,,,,,
25,05/31/17 03:00:00 PM,15.091,304.0,2.89,,,,,
26,05/31/17 09:00:00 PM,10.455,0.0,2.85,,,,,
27,06/01/17 03:00:00 AM,8.680,0.0,2.87,,,,,
28,06/01/17 09:00:00 AM,9.373,256.0,2.87,,,,,
29,06/01/17 03:00:00 PM,11.916,368.0,2.85,,,,,
30,06/01/17 09:00:00 PM,9.176,0.0,2.87,,,,,
31,06/02/17 03:00:00 AM,7.983,0.0,2.85,,,,,
32,06/02/17 09:00:00 AM,11.431,304.0,2.85,,,,,
33,06/02/17 03:00:00 PM,15.664,200.0,2.87,,,,,
34,06/02/17 09:00:00 PM,11.334,0.0,2.85,,,,,
35,06/03/17 03:00:00 AM,8.779,0.0,2.85,,,,,
36,06/03/17 09:00:00 AM,9.472,176.0,2.85,,,,,
37,06/03/17 03:00:00 PM,14.134,368.0,2.87,,,,,
38,06/03/17 09:00:00 PM,8.382,0.0,2.83,,,,,
39,06/04/17 03:00:00 AM,6.877,0.0,2.81,,,,,
40,06/04/17 09:00:00 AM,7.983,232.0,2.81,,,,,
41,06/04/17 03:00:00 PM,9.472,272.0,2.83,,,,,
42,06/04/17 09:00:00 PM,5.450,0.0,2.79,,,,,
43,06/05/17 03:00:00 AM,4.102,0.0,2.77,,,,,
44,06/05/17 09:00:00 AM,10.944,320.0,2.81,,,,,
45,06/05/17 03:00:00 PM,16.903,240.0,2.87,,,,,
46,06/05/17 09:00:00 PM,12.013,0.0,2.85,,,,,
47,06/06/17 03:00:00 AM,9.768,0.0,2.83,,,,,
48,06/06/17 09:00:00 AM,15.187,336.0,2.83,,,,,
49,06/06/17 03:00:00 PM,18.996,216.0,2.89,,,,,
50,06/06/17 09:00:00 PM,13.076,0.0,2.85,,,,,
51,06/07/17 03:00:00 AM,11.722,0.0,2.85,,,,,
52,06/07/17 09:00:00 AM,15.569,448.0,2.85,,,,,
53,06/07/17 03:00:00 PM,18.331,352.0,2.87,,,,,
54,06/07/17 09:00:00 PM,12.304,0.0,2.85,,,,,
55,06/08/17 03:00:00 AM,10.357,0.0,2.83,,,,,
56,06/08/17 09:00:00 AM,9.275,152.0,2.83,,,,,
57,06/08/17 03:00:00 PM,8.082,288.0,2.81,,,,,
