"Plot Title: 10166295"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Bad Battery","Coupler Attached","Coupler Detached","Host Connected","Stopped","End Of File"
1,05/24/17 03:00:00 PM,13.173,672.0,3.03,,,,,,
2,05/24/17 09:00:00 PM,5.037,0.0,2.95,,,,,,
3,05/25/17 03:00:00 AM,4.519,0.0,2.95,,,,,,
4,05/25/17 09:00:00 AM,7.280,336.0,2.97,,,,,,
5,05/25/17 03:00:00 PM,9.866,128.0,2.99,,,,,,
6,05/25/17 09:00:00 PM,8.282,0.0,2.97,,,,,,
7,05/26/17 03:00:00 AM,7.280,0.0,2.95,,,,,,
8,05/26/17 09:00:00 AM,11.431,320.0,2.97,,,,,,
9,05/26/17 03:00:00 PM,18.331,864.0,3.03,,,,,,
10,05/26/17 09:00:00 PM,12.690,0.0,2.99,,,,,,
11,05/27/17 03:00:00 AM,11.139,0.0,2.97,,,,,,
12,05/27/17 09:00:00 AM,16.141,320.0,2.99,,,,,,
13,05/27/17 03:00:00 PM,23.196,1216.0,3.05,,,,,,
14,05/27/17 09:00:00 PM,15.378,0.0,2.99,,,,,,
15,05/28/17 03:00:00 AM,13.654,0.0,2.99,,,,,,
16,05/28/17 09:00:00 AM,18.521,320.0,2.99,,,,,,
17,05/28/17 03:00:00 PM,25.805,1408.0,3.03,,,,,,
18,05/28/17 09:00:00 PM,15.569,0.0,2.97,,,,,,
19,05/29/17 03:00:00 AM,13.846,0.0,2.97,,,,,,
20,05/29/17 09:00:00 AM,19.282,336.0,2.99,,,,,,
21,05/29/17 03:00:00 PM,24.255,1280.0,3.01,,,,,,
22,05/29/17 09:00:00 PM,16.332,0.0,2.97,,,,,,
23,05/30/17 03:00:00 AM,12.401,0.0,2.93,,,,,,
24,05/30/17 09:00:00 AM,11.625,480.0,2.91,,,,,,
25,05/30/17 03:00:00 PM,9.669,101.0,2.89,,,,,,
26,05/30/17 09:00:00 PM,8.481,0.0,2.89,,,,,,
27,05/31/17 03:00:00 AM,7.179,0.0,2.87,,,,,,
28,05/31/17 09:00:00 AM,8.978,400.0,2.87,,,,,,
29,05/31/17 03:00:00 PM,17.189,896.0,2.93,,,,,,
30,05/31/17 09:00:00 PM,9.866,0.0,2.87,,,,,,
31,06/01/17 03:00:00 AM,8.382,0.0,2.87,,,,,,
32,06/01/17 09:00:00 AM,8.779,240.0,2.87,,,,,,
33,06/01/17 03:00:00 PM,11.916,464.0,2.89,,,,,,
34,06/01/17 09:00:00 PM,8.680,0.0,2.87,,,,,,
35,06/02/17 03:00:00 AM,7.582,0.0,2.87,,,,,,
36,06/02/17 09:00:00 AM,11.041,320.0,2.85,,,,,,
37,06/02/17 03:00:00 PM,20.234,896.0,2.93,,,,,,
38,06/02/17 09:00:00 PM,11.528,0.0,2.89,,,,,,
