"Plot Title: 10169147"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Bad Battery","Good Battery","Coupler Attached","Stopped","End Of File"
1,05/23/17 03:00:00 PM,21.091,416.0,3.14,,,,,
2,05/23/17 09:00:00 PM,13.076,0.0,3.08,,,,,
3,05/24/17 03:00:00 AM,8.182,0.0,3.03,,,,,
4,05/24/17 09:00:00 AM,7.481,184.0,3.01,,,,,
5,05/24/17 03:00:00 PM,11.528,368.0,3.01,,,,,
6,05/24/17 09:00:00 PM,6.064,0.0,2.97,,,,,
7,05/25/17 03:00:00 AM,4.934,0.0,2.93,,,,,
8,05/25/17 09:00:00 AM,6.775,176.0,2.95,,,,,
9,05/25/17 03:00:00 PM,9.571,81.0,2.97,,,,,
10,05/25/17 09:00:00 PM,8.182,0.0,2.95,,,,,
11,05/26/17 03:00:00 AM,6.877,0.0,2.93,,,,,
12,05/26/17 09:00:00 AM,9.866,176.0,2.93,,,,,
13,05/26/17 03:00:00 PM,17.379,480.0,2.99,,,,,
14,05/26/17 09:00:00 PM,12.401,0.0,2.97,,,,,
15,05/27/17 03:00:00 AM,11.041,0.0,2.93,,,,,
16,05/27/17 09:00:00 AM,13.846,184.0,2.95,,,,,
17,05/27/17 03:00:00 PM,20.901,480.0,2.99,,,,,
18,05/27/17 09:00:00 PM,15.091,0.0,2.95,,,,,
19,05/28/17 03:00:00 AM,12.497,0.0,2.93,,,,,
20,05/28/17 09:00:00 AM,16.046,184.0,2.95,,,,,
21,05/28/17 03:00:00 PM,23.773,672.0,2.99,,,,,
22,05/28/17 09:00:00 PM,15.569,0.0,2.95,,,,,
23,05/29/17 03:00:00 AM,13.173,0.0,2.93,,,,,
24,05/29/17 09:00:00 AM,16.903,192.0,2.95,,,,,
25,05/29/17 03:00:00 PM,22.525,608.0,2.97,,,,,
26,05/29/17 09:00:00 PM,15.569,0.0,2.93,,,,,
27,05/30/17 03:00:00 AM,12.690,0.0,2.91,,,,,
28,05/30/17 09:00:00 AM,10.651,168.0,2.89,,,,,
29,05/30/17 03:00:00 PM,9.472,44.0,2.89,,,,,
30,05/30/17 09:00:00 PM,8.978,0.0,2.87,,,,,
31,05/31/17 03:00:00 AM,7.079,0.0,2.87,,,,,
32,05/31/17 09:00:00 AM,8.978,304.0,2.87,,,,,
33,05/31/17 03:00:00 PM,15.091,432.0,2.89,,,,,
34,05/31/17 09:00:00 PM,10.553,0.0,2.85,,,,,
35,06/01/17 03:00:00 AM,8.680,0.0,2.87,,,,,
36,06/01/17 09:00:00 AM,8.779,99.0,2.87,,,,,
37,06/01/17 03:00:00 PM,12.304,672.0,2.87,,,,,
38,06/01/17 09:00:00 PM,9.669,0.0,2.85,,,,,
39,06/02/17 03:00:00 AM,7.882,0.0,2.85,,,,,
40,06/02/17 09:00:00 AM,9.571,192.0,2.87,,,,,
41,06/02/17 03:00:00 PM,16.713,432.0,2.89,,,,,
42,06/02/17 09:00:00 PM,12.207,0.0,2.87,,,,,
43,06/03/17 03:00:00 AM,9.571,0.0,2.87,,,,,
44,06/03/17 09:00:00 AM,9.275,102.0,2.87,,,,,
45,06/03/17 03:00:00 PM,14.517,480.0,2.87,,,,,
46,06/03/17 09:00:00 PM,8.680,0.0,2.85,,,,,
47,06/04/17 03:00:00 AM,7.381,0.0,2.83,,,,,
48,06/04/17 09:00:00 AM,7.983,256.0,2.83,,,,,
49,06/04/17 03:00:00 PM,10.259,288.0,2.85,,,,,
50,06/04/17 09:00:00 PM,6.775,0.0,2.81,,,,,
51,06/05/17 03:00:00 AM,5.141,0.0,2.79,,,,,
52,06/05/17 09:00:00 AM,9.275,208.0,2.83,,,,,
53,06/05/17 03:00:00 PM,17.950,448.0,2.87,,,,,
54,06/05/17 09:00:00 PM,12.594,0.0,2.85,,,,,
55,06/06/17 03:00:00 AM,11.139,0.0,2.85,,,,,
56,06/06/17 09:00:00 AM,13.558,200.0,2.85,,,,,
57,06/06/17 03:00:00 PM,21.091,496.0,2.89,,,,,
58,06/06/17 09:00:00 PM,14.134,0.0,2.87,,,,,
59,06/07/17 03:00:00 AM,12.304,0.0,2.85,,,,,
60,06/07/17 09:00:00 AM,15.187,272.0,2.85,,,,,
61,06/07/17 03:00:00 PM,18.806,400.0,2.89,,,,,
62,06/07/17 09:00:00 PM,12.497,0.0,2.85,,,,,
63,06/08/17 03:00:00 AM,10.357,0.0,2.85,,,,,
64,06/08/17 09:00:00 AM,9.077,152.0,2.85,,,,,
65,06/08/17 03:00:00 PM,8.282,160.0,2.83,,,,,
66,06/08/17 09:00:00 PM,5.757,0.0,2.79,,,,,
67,06/09/17 03:00:00 AM,4.727,0.0,2.81,,,,,
68,06/09/17 09:00:00 AM,5.860,288.0,2.79,,,,,
69,06/09/17 03:00:00 PM,1.980,119.0,2.77,,,,,
70,06/09/17 09:00:00 PM,3.472,0.0,2.77,,,,,
71,06/10/17 03:00:00 AM,3.155,0.0,2.77,,,,,
