"Plot Title: 10169168"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Bad Battery","Coupler Attached","Stopped","End Of File"
1,05/24/17 03:00:00 PM,12.690,704.0,3.17,,,,
2,05/24/17 09:00:00 PM,4.934,0.0,3.10,,,,
3,05/25/17 03:00:00 AM,4.311,0.0,3.08,,,,
4,05/25/17 09:00:00 AM,5.552,87.0,3.05,,,,
5,05/25/17 03:00:00 PM,9.571,176.0,3.10,,,,
6,05/25/17 09:00:00 PM,7.882,0.0,3.05,,,,
7,05/26/17 03:00:00 AM,6.877,0.0,3.03,,,,
8,05/26/17 09:00:00 AM,9.077,144.0,3.03,,,,
9,05/26/17 03:00:00 PM,16.808,608.0,3.05,,,,
10,05/26/17 09:00:00 PM,12.304,0.0,3.03,,,,
11,05/27/17 03:00:00 AM,10.748,0.0,3.01,,,,
12,05/27/17 09:00:00 AM,13.365,152.0,3.03,,,,
13,05/27/17 03:00:00 PM,22.238,864.0,3.05,,,,
14,05/27/17 09:00:00 PM,14.613,0.0,3.03,,,,
15,05/28/17 03:00:00 AM,12.883,0.0,3.01,,,,
16,05/28/17 09:00:00 AM,15.569,152.0,2.99,,,,
17,05/28/17 03:00:00 PM,24.738,768.0,3.05,,,,
18,05/28/17 09:00:00 PM,15.091,0.0,2.99,,,,
19,05/29/17 03:00:00 AM,12.980,0.0,2.99,,,,
20,05/29/17 09:00:00 AM,16.427,160.0,2.99,,,,
21,05/29/17 03:00:00 PM,23.388,864.0,3.01,,,,
22,05/29/17 09:00:00 PM,15.664,0.0,2.99,,,,
23,05/30/17 03:00:00 AM,12.401,0.0,2.97,,,,
24,05/30/17 09:00:00 AM,11.334,480.0,2.95,,,,
25,05/30/17 03:00:00 PM,9.275,108.0,2.93,,,,
26,05/30/17 09:00:00 PM,8.581,0.0,2.93,,,,
27,05/31/17 03:00:00 AM,7.079,0.0,2.91,,,,
28,05/31/17 09:00:00 AM,8.779,352.0,2.91,,,,
29,05/31/17 03:00:00 PM,15.855,768.0,2.93,,,,
30,05/31/17 09:00:00 PM,9.669,0.0,2.91,,,,
31,06/01/17 03:00:00 AM,8.282,0.0,2.91,,,,
32,06/01/17 09:00:00 AM,8.779,256.0,2.89,,,,
33,06/01/17 03:00:00 PM,11.916,464.0,2.91,,,,
34,06/01/17 09:00:00 PM,8.779,0.0,2.89,,,,
35,06/02/17 03:00:00 AM,7.582,0.0,2.89,,,,
36,06/02/17 09:00:00 AM,9.077,160.0,2.89,,,,
37,06/02/17 03:00:00 PM,18.521,768.0,2.95,,,,
38,06/02/17 09:00:00 PM,11.431,0.0,2.91,,,,
39,06/03/17 03:00:00 AM,8.779,0.0,2.89,,,,
40,06/03/17 09:00:00 AM,9.472,320.0,2.89,,,,
41,06/03/17 03:00:00 PM,15.282,960.0,2.91,,,,
42,06/03/17 09:00:00 PM,8.282,0.0,2.87,,,,
43,06/04/17 03:00:00 AM,6.674,0.0,2.87,,,,
44,06/04/17 09:00:00 AM,7.682,672.0,2.87,,,,
