"Plot Title: 10760650"
"#","Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²","Coupler Attached","Stopped","End Of File"
1,05/23/17 03:00:00 AM,24.448,0.0,,,
2,05/23/17 09:00:00 AM,18.236,0.0,,,
3,05/23/17 03:00:00 PM,23.292,0.0,,,
4,05/23/17 09:00:00 PM,13.750,0.0,,,
5,05/24/17 03:00:00 AM,8.481,0.0,,,
6,05/24/17 09:00:00 AM,7.280,512.0,,,
7,05/24/17 03:00:00 PM,17.475,448.0,,,
8,05/24/17 09:00:00 PM,5.757,0.0,,,
9,05/25/17 03:00:00 AM,4.519,0.0,,,
10,05/25/17 09:00:00 AM,6.268,512.0,,,
11,05/25/17 03:00:00 PM,17.855,352.0,,,
12,05/25/17 09:00:00 PM,8.779,0.0,,,
13,05/26/17 03:00:00 AM,7.280,0.0,,,
14,05/26/17 09:00:00 AM,9.965,512.0,,,
15,05/26/17 03:00:00 PM,26.585,448.0,,,
16,05/26/17 09:00:00 PM,13.461,0.0,,,
17,05/27/17 03:00:00 AM,11.431,0.0,,,
18,05/27/17 09:00:00 AM,14.134,576.0,,,
19,05/27/17 03:00:00 PM,31.472,432.0,,,
20,05/27/17 09:00:00 PM,15.760,0.0,,,
21,05/28/17 03:00:00 AM,13.269,0.0,,,
22,05/28/17 09:00:00 AM,17.189,512.0,,,
23,05/28/17 03:00:00 PM,32.497,768.0,,,
24,05/28/17 09:00:00 PM,16.618,0.0,,,
25,05/29/17 03:00:00 AM,13.654,0.0,,,
26,05/29/17 09:00:00 AM,17.379,512.0,,,
27,05/29/17 03:00:00 PM,30.457,480.0,,,
28,05/29/17 09:00:00 PM,16.332,0.0,,,
29,05/30/17 03:00:00 AM,13.173,0.0,,,
30,05/30/17 09:00:00 AM,10.846,248.0,,,
31,05/30/17 03:00:00 PM,9.768,136.0,,,
32,05/30/17 09:00:00 PM,8.879,0.0,,,
33,05/31/17 03:00:00 AM,7.179,0.0,,,
34,05/31/17 09:00:00 AM,8.182,216.0,,,
35,05/31/17 03:00:00 PM,19.853,704.0,,,
36,05/31/17 09:00:00 PM,10.651,0.0,,,
37,06/01/17 03:00:00 AM,8.481,0.0,,,
38,06/01/17 09:00:00 AM,8.680,152.0,,,
39,06/01/17 03:00:00 PM,13.558,464.0,,,
40,06/01/17 09:00:00 PM,9.866,0.0,,,
41,06/02/17 03:00:00 AM,8.082,0.0,,,
42,06/02/17 09:00:00 AM,9.866,480.0,,,
43,06/02/17 03:00:00 PM,20.329,608.0,,,
44,06/02/17 09:00:00 PM,12.787,0.0,,,
45,06/03/17 03:00:00 AM,9.571,0.0,,,
46,06/03/17 09:00:00 AM,8.978,144.0,,,
47,06/03/17 03:00:00 PM,17.475,480.0,,,
48,06/03/17 09:00:00 PM,8.879,0.0,,,
49,06/04/17 03:00:00 AM,7.079,0.0,,,
50,06/04/17 09:00:00 AM,6.674,200.0,,,
51,06/04/17 03:00:00 PM,11.431,480.0,,,
52,06/04/17 09:00:00 PM,7.079,1.0,,,
53,06/05/17 03:00:00 AM,5.450,0.0,,,
54,06/05/17 09:00:00 AM,9.373,512.0,,,
55,06/05/17 03:00:00 PM,20.519,576.0,,,
56,06/05/17 09:00:00 PM,13.269,0.0,,,
57,06/06/17 03:00:00 AM,11.625,0.0,,,
58,06/06/17 09:00:00 AM,13.750,496.0,,,
59,06/06/17 03:00:00 PM,24.448,464.0,,,
60,06/06/17 09:00:00 PM,14.709,0.0,,,
61,06/07/17 03:00:00 AM,12.401,0.0,,,
62,06/07/17 09:00:00 AM,14.900,352.0,,,
63,06/07/17 03:00:00 PM,20.901,480.0,,,
64,06/07/17 09:00:00 PM,12.401,0.0,,,
65,06/08/17 03:00:00 AM,10.161,0.0,,,
66,06/08/17 09:00:00 AM,8.581,76.0,,,
67,06/08/17 03:00:00 PM,8.481,368.0,,,
68,06/08/17 09:00:00 PM,5.347,0.0,,,
69,06/09/17 03:00:00 AM,4.207,0.0,,,
70,06/09/17 09:00:00 AM,5.037,320.0,,,
71,06/09/17 03:00:00 PM,3.893,84.0,,,
