Plot Title: 10166291,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",End Of File
1,10/2/2018 21:00,6.471,0,2.72,
2,10/3/2018 3:00,6.471,0,2.72,
3,10/3/2018 9:00,11.431,1076.4,2.74,
4,10/3/2018 15:00,12.207,129.2,2.74,
5,10/3/2018 21:00,7.179,0,2.72,
6,10/4/2018 3:00,5.86,0,2.72,
7,10/4/2018 9:00,7.983,3961.1,2.72,
8,10/4/2018 15:00,6.674,290.6,2.72,
9,10/4/2018 21:00,3.893,0,2.72,
10,10/5/2018 3:00,3.683,0,2.72,
11,10/5/2018 9:00,3.683,1722.2,2.72,
12,10/5/2018 15:00,5.757,86.1,2.72,
13,10/5/2018 21:00,6.268,0,2.72,
14,10/6/2018 3:00,6.166,0,2.72,
15,10/6/2018 9:00,7.882,1636.1,2.72,
16,10/6/2018 15:00,4.934,118.4,2.7,
17,10/6/2018 21:00,3.049,0,2.7,
18,10/7/2018 3:00,2.195,0,2.7,
19,10/7/2018 9:00,5.757,2411.1,2.7,
20,10/7/2018 15:00,6.268,64.6,2.72,
21,10/7/2018 21:00,5.757,0,2.7,
22,10/8/2018 3:00,6.064,0,2.7,
23,10/8/2018 9:00,7.782,1808.3,2.72,
24,10/8/2018 15:00,8.68,86.1,2.72,
25,10/8/2018 21:00,8.282,0,2.72,
26,10/9/2018 3:00,7.682,0,2.72,
27,10/9/2018 9:00,5.757,3788.9,2.7,
28,10/9/2018 15:00,5.244,75.3,2.7,
29,10/9/2018 21:00,4.311,0,2.72,
30,10/10/2018 3:00,3.155,0,2.7,
31,10/10/2018 9:00,4.727,1550,2.72,
32,10/10/2018 15:00,3.998,129.2,2.72,
33,10/10/2018 21:00,2.943,0,2.7,
34,10/11/2018 3:00,1.548,0,2.7,
35,10/11/2018 9:00,3.893,1324,2.7,
36,10/11/2018 15:00,6.37,118.4,2.7,
37,10/11/2018 21:00,6.268,0,2.7,
38,10/12/2018 3:00,5.757,0,2.7,
39,10/12/2018 9:00,9.176,1248.6,2.72,
40,10/12/2018 15:00,9.571,96.9,2.72,
41,10/12/2018 21:00,7.582,0,2.72,
42,10/13/2018 3:00,5.037,0,2.7,
43,10/13/2018 9:00,5.757,1636.1,2.7,
44,10/13/2018 15:00,5.962,96.9,2.7,
45,10/13/2018 21:00,3.155,0,2.7,
46,10/14/2018 3:00,2.303,0,2.7,
47,10/14/2018 9:00,4.831,1722.2,2.7,
48,10/14/2018 15:00,6.064,75.3,2.7,
49,10/14/2018 21:00,3.893,0,2.7,
50,10/15/2018 3:00,4.831,0,2.7,
51,10/15/2018 9:00,11.041,1550,2.72,
52,10/15/2018 15:00,11.625,53.8,2.72,
53,10/15/2018 21:00,9.866,0,2.72,
54,10/16/2018 3:00,9.373,0,2.74,
55,10/16/2018 9:00,12.69,1550,2.74,
56,10/16/2018 15:00,12.497,43.1,2.74,
57,10/16/2018 21:00,9.768,0,2.72,
58,10/17/2018 3:00,9.768,0,2.72,
59,10/17/2018 9:00,13.75,1550,2.74,
60,10/17/2018 15:00,14.23,43.1,2.74,
61,10/17/2018 21:00,12.013,0,2.74,
62,10/18/2018 3:00,10.748,0,2.72,
63,10/18/2018 9:00,12.401,1550,2.74,
64,10/18/2018 15:00,13.076,43.1,2.74,
65,10/18/2018 21:00,12.594,0,2.74,
66,10/19/2018 3:00,12.304,0,2.74,
67,10/19/2018 9:00,16.141,1463.9,2.74,
68,10/19/2018 15:00,16.141,43.1,2.74,
69,10/19/2018 21:00,15.378,0,2.74,
70,10/20/2018 3:00,14.421,0,2.75,
71,10/20/2018 9:00,17.57,1463.9,2.75,
72,10/20/2018 15:00,17.189,32.3,2.75,
73,10/20/2018 21:00,15.855,0,2.74,
74,10/21/2018 3:00,14.421,0,2.75,
75,10/21/2018 9:00,15.378,1550,2.74,
76,10/21/2018 15:00,13.558,43.1,2.75,
77,10/21/2018 21:00,12.401,0,2.74,
78,10/22/2018 3:00,11.722,0,2.74,
79,10/22/2018 9:00,16.141,1463.9,2.74,
80,10/22/2018 15:00,14.804,53.8,2.75,
81,10/22/2018 21:00,12.207,0,2.74,
82,10/23/2018 3:00,11.431,0,2.74,
83,10/23/2018 9:00,12.787,2411.1,2.74,
84,10/23/2018 15:00,6.471,43.1,2.72,
85,10/23/2018 21:00,6.674,0,2.72,
86,10/24/2018 3:00,6.674,0,2.72,
87,10/24/2018 9:00,8.779,2755.6,2.74,
88,10/24/2018 15:00,8.082,21.5,2.72,
89,10/24/2018 21:00,6.978,0,2.72,
90,10/25/2018 3:00,7.381,0,2.72,
91,10/25/2018 9:00,10.455,1636.1,2.72,
92,10/25/2018 15:00,10.161,0,2.72,
93,10/25/2018 21:00,11.236,0,2.72,
94,10/26/2018 3:00,9.176,0,2.74,
