Plot Title: 20400438,,,,,
#,"Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²",Coupler Detached,End Of File
1,8/16/2018 21:00,24.448,0,,
2,8/16/2018 21:00,,,Logged,
3,8/17/2018 3:00,21.187,0,,
4,8/17/2018 9:00,20.519,0,,
5,8/17/2018 15:00,19.948,352,,
6,8/17/2018 21:00,13.75,0,,
7,8/18/2018 3:00,11.916,0,,
8,8/18/2018 9:00,13.75,121,,
9,8/18/2018 15:00,22.238,304,,
10,8/18/2018 21:00,16.237,0,,
11,8/19/2018 3:00,14.038,0,,
12,8/19/2018 9:00,14.325,152,,
13,8/19/2018 15:00,21.473,320,,
14,8/19/2018 21:00,15.473,0,,
15,8/20/2018 3:00,13.269,0,,
16,8/20/2018 9:00,16.332,336,,
17,8/20/2018 15:00,23.388,576,,
18,8/20/2018 21:00,17.95,0,,
19,8/21/2018 3:00,16.141,0,,
20,8/21/2018 9:00,14.709,240,,
21,8/21/2018 15:00,21.378,480,,
22,8/21/2018 21:00,17.189,0,,
23,8/22/2018 3:00,15.569,0,,
24,8/22/2018 9:00,17.094,192,,
25,8/22/2018 15:00,22.812,384,,
26,8/22/2018 21:00,16.808,0,,
27,8/23/2018 3:00,14.517,0,,
28,8/23/2018 9:00,15.187,256,,
29,8/23/2018 15:00,19.853,496,,
30,8/23/2018 21:00,10.748,0,,
31,8/24/2018 3:00,8.581,0,,
32,8/24/2018 9:00,10.748,608,,
33,8/24/2018 15:00,14.517,432,,
34,8/24/2018 21:00,8.779,0,,
35,8/25/2018 3:00,7.079,0,,
36,8/25/2018 9:00,8.879,192,,
37,8/25/2018 15:00,16.808,704,,
38,8/25/2018 21:00,10.063,0,,
39,8/26/2018 3:00,8.879,0,,
40,8/26/2018 9:00,8.978,125,,
41,8/26/2018 15:00,11.236,480,,
42,8/26/2018 21:00,8.581,0,,
43,8/27/2018 3:00,8.779,0,,
44,8/27/2018 9:00,11.041,432,,
45,8/27/2018 15:00,13.076,224,,
46,8/27/2018 21:00,10.553,0,,
47,8/28/2018 3:00,9.176,0,,
48,8/28/2018 9:00,9.472,97,,
49,8/28/2018 15:00,17.95,232,,
50,8/28/2018 21:00,14.23,0,,
51,8/29/2018 3:00,13.269,0,,
52,8/29/2018 9:00,13.846,184,,
53,8/29/2018 15:00,18.901,272,,
54,8/29/2018 21:00,13.269,0,,
55,8/30/2018 3:00,10.553,0,,
56,8/30/2018 9:00,12.401,336,,
57,8/30/2018 15:00,11.722,320,,
58,8/30/2018 21:00,9.669,0,,
59,8/31/2018 3:00,8.481,0,,
60,8/31/2018 9:00,8.779,320,,
61,8/31/2018 15:00,14.613,384,,
62,8/31/2018 21:00,9.965,0,,
63,9/1/2018 3:00,7.983,0,,
64,9/1/2018 9:00,8.779,92,,
65,9/1/2018 15:00,15.664,232,,
66,9/1/2018 21:00,11.041,0,,
67,9/2/2018 3:00,9.866,0,,
68,9/2/2018 9:00,10.846,89,,
69,9/2/2018 15:00,18.521,216,,
70,9/2/2018 21:00,13.365,0,,
71,9/3/2018 3:00,11.139,0,,
