Plot Title: 20400441,,,,,,
#,"Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²",Coupler Attached,Stopped,End Of File
1,8/17/2018 9:00,20.519,0,,,
2,8/17/2018 15:00,19.472,432,,,
3,8/17/2018 21:00,12.883,0,,,
4,8/18/2018 3:00,10.846,0,,,
5,8/18/2018 9:00,12.69,144,,,
6,8/18/2018 15:00,20.901,384,,,
7,8/18/2018 21:00,15.569,0,,,
8,8/19/2018 3:00,12.883,0,,,
9,8/19/2018 9:00,14.038,184,,,
10,8/19/2018 15:00,20.71,400,,,
11,8/19/2018 21:00,14.804,0,,,
12,8/20/2018 3:00,12.497,0,,,
13,8/20/2018 9:00,16.237,432,,,
14,8/20/2018 15:00,23.581,704,,,
15,8/20/2018 21:00,17.379,0,,,
16,8/21/2018 3:00,15.664,0,,,
17,8/21/2018 9:00,14.517,320,,,
18,8/21/2018 15:00,21.282,512,,,
19,8/21/2018 21:00,16.427,0,,,
20,8/22/2018 3:00,14.709,0,,,
21,8/22/2018 9:00,16.427,256,,,
22,8/22/2018 15:00,22.333,480,,,
23,8/22/2018 21:00,15.951,0,,,
24,8/23/2018 3:00,13.269,0,,,
25,8/23/2018 9:00,14.996,368,,,
26,8/23/2018 15:00,19.853,576,,,
27,8/23/2018 21:00,10.259,0,,,
28,8/24/2018 3:00,8.581,0,,,
29,8/24/2018 9:00,11.139,800,,,
30,8/24/2018 15:00,13.942,576,,,
31,8/24/2018 21:00,8.082,0,,,
32,8/25/2018 3:00,6.37,0,,,
33,8/25/2018 9:00,8.481,240,,,
34,8/25/2018 15:00,16.903,768,,,
35,8/25/2018 21:00,9.176,0,,,
36,8/26/2018 3:00,8.481,0,,,
37,8/26/2018 9:00,9.176,168,,,
38,8/26/2018 15:00,11.819,704,,,
39,8/26/2018 21:00,8.581,0,,,
40,8/27/2018 3:00,8.779,0,,,
41,8/27/2018 9:00,11.528,576,,,
42,8/27/2018 15:00,13.173,320,,,
43,8/27/2018 21:00,9.866,0,,,
44,8/28/2018 3:00,8.382,0,,,
45,8/28/2018 9:00,8.879,128,,,
46,8/28/2018 15:00,16.141,320,,,
47,8/28/2018 21:00,13.269,0,,,
48,8/29/2018 3:00,12.11,0,,,
49,8/29/2018 9:00,13.076,248,,,
50,8/29/2018 15:00,17.57,368,,,
51,8/29/2018 21:00,12.11,0,,,
52,8/30/2018 3:00,9.768,0,,,
53,8/30/2018 9:00,12.401,464,,,
54,8/30/2018 15:00,13.269,432,,,
55,8/30/2018 21:00,9.768,0,,,
56,8/31/2018 3:00,8.182,0,,,
57,8/31/2018 9:00,8.581,464,,,
58,8/31/2018 15:00,14.421,400,,,
59,8/31/2018 21:00,9.373,0,,,
60,9/1/2018 3:00,7.179,0,,,
61,9/1/2018 9:00,8.282,124,,,
62,9/1/2018 15:00,14.709,320,,,
63,9/1/2018 21:00,10.063,0,,,
64,9/2/2018 3:00,8.879,0,,,
65,9/2/2018 9:00,10.259,124,,,
66,9/2/2018 15:00,17.475,304,,,
67,9/2/2018 21:00,12.497,0,,,
68,9/3/2018 3:00,10.357,0,,,
69,9/3/2018 9:00,11.041,144,,,
70,9/3/2018 15:00,16.713,288,,,
71,9/3/2018 21:00,11.625,0,,,
72,9/4/2018 3:00,9.373,0,,,
73,9/4/2018 9:00,10.846,118,,,
74,9/4/2018 15:00,17.76,304,,,
75,9/4/2018 21:00,13.942,0,,,
76,9/5/2018 3:00,12.883,0,,,
77,9/5/2018 9:00,14.421,184,,,
78,9/5/2018 15:00,21.473,352,,,
79,9/5/2018 21:00,15.378,0,,,
80,9/6/2018 3:00,13.269,0,,,
81,9/6/2018 9:00,15.187,216,,,
82,9/6/2018 15:00,20.996,464,,,
83,9/6/2018 21:00,13.942,0,,,
84,9/7/2018 3:00,11.722,0,,,
85,9/7/2018 9:00,13.365,117,,,
86,9/7/2018 15:00,19.662,288,,,
87,9/7/2018 21:00,11.528,0,,,
88,9/8/2018 3:00,7.481,0,,,
89,9/8/2018 9:00,8.879,136,,,
90,9/8/2018 15:00,14.709,304,,,
91,9/8/2018 21:00,9.472,0,,,
92,9/9/2018 3:00,7.28,0,,,
93,9/9/2018 9:00,9.866,144,,,
94,9/9/2018 15:00,15.378,288,,,
95,9/9/2018 21:00,9.965,0,,,
96,9/10/2018 3:00,7.481,0,,,
97,9/10/2018 9:00,8.879,168,,,
98,9/10/2018 15:00,13.076,320,,,
99,9/10/2018 21:00,7.28,0,,,
100,9/11/2018 3:00,7.179,0,,,
101,9/11/2018 9:00,7.179,240,,,
102,9/11/2018 15:00,9.965,496,,,
103,9/11/2018 21:00,6.166,0,,,
104,9/12/2018 3:00,6.166,0,,,
105,9/12/2018 9:00,6.674,136,,,
106,9/12/2018 15:00,9.866,512,,,
107,9/12/2018 21:00,5.757,0,,,
108,9/13/2018 3:00,4.623,0,,,
