Plot Title: 10166274,,,,,
#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 10166274, SEN S/N: 10166274)","Intensity, lum/ft²","Batt, V",End Of File
1,10/2/2018 21:00,6.166,4,2.7,
2,10/3/2018 3:00,4.415,0,2.68,
3,10/3/2018 9:00,10.748,0,2.68,
4,10/3/2018 15:00,11.139,288,2.7,
5,10/3/2018 21:00,6.573,44,2.7,
6,10/4/2018 3:00,5.552,0,2.68,
7,10/4/2018 9:00,9.077,0,2.68,
8,10/4/2018 15:00,5.962,768,2.68,
9,10/4/2018 21:00,2.624,56,2.68,
10,10/5/2018 3:00,2.624,0,2.67,
11,10/5/2018 9:00,5.244,0,2.67,
12,10/5/2018 15:00,5.86,400,2.67,
13,10/5/2018 21:00,6.268,22,2.68,
14,10/6/2018 3:00,6.268,0,2.68,
15,10/6/2018 9:00,8.68,0,2.68,
16,10/6/2018 15:00,5.45,368,2.68,
17,10/6/2018 21:00,3.472,29,2.67,
18,10/7/2018 3:00,2.303,0,2.67,
19,10/7/2018 9:00,7.079,0,2.67,
20,10/7/2018 15:00,6.877,432,2.67,
21,10/7/2018 21:00,5.962,27,2.68,
22,10/8/2018 3:00,6.166,0,2.67,
23,10/8/2018 9:00,8.68,0,2.67,
24,10/8/2018 15:00,8.978,432,2.68,
25,10/8/2018 21:00,8.182,24,2.68,
26,10/9/2018 3:00,7.682,0,2.68,
27,10/9/2018 9:00,6.775,0,2.68,
28,10/9/2018 15:00,5.86,768,2.65,
29,10/9/2018 21:00,4.727,24,2.67,
30,10/10/2018 3:00,3.578,0,2.67,
31,10/10/2018 9:00,5.45,0,2.67,
32,10/10/2018 15:00,4.623,416,2.65,
33,10/10/2018 21:00,3.261,14,2.67,
34,10/11/2018 3:00,1.98,0,2.67,
35,10/11/2018 9:00,4.311,0,2.65,
36,10/11/2018 15:00,6.268,136,2.67,
37,10/11/2018 21:00,5.962,12,2.67,
38,10/12/2018 3:00,5.655,0,2.67,
39,10/12/2018 9:00,8.879,0,2.65,
40,10/12/2018 15:00,8.879,128,2.68,
41,10/12/2018 21:00,6.877,12,2.68,
42,10/13/2018 3:00,4.727,0,2.67,
43,10/13/2018 9:00,5.86,0,2.67,
44,10/13/2018 15:00,5.962,136,2.65,
45,10/13/2018 21:00,3.788,12,2.67,
46,10/14/2018 3:00,2.624,0,2.67,
47,10/14/2018 9:00,4.831,0,2.65,
48,10/14/2018 15:00,5.347,144,2.65,
49,10/14/2018 21:00,3.367,12,2.65,
50,10/15/2018 3:00,3.788,0,2.65,
51,10/15/2018 9:00,8.779,0,2.65,
52,10/15/2018 15:00,9.866,136,2.67,
53,10/15/2018 21:00,8.282,11,2.67,
54,10/16/2018 3:00,8.082,0,2.67,
55,10/16/2018 9:00,11.236,0,2.67,
56,10/16/2018 15:00,11.625,136,2.68,
57,10/16/2018 21:00,8.879,10,2.68,
58,10/17/2018 3:00,7.983,0,2.68,
59,10/17/2018 9:00,11.139,0,2.68,
60,10/17/2018 15:00,11.819,136,2.68,
61,10/17/2018 21:00,10.259,10,2.68,
62,10/18/2018 3:00,9.077,0,2.68,
63,10/18/2018 9:00,11.139,0,2.68,
64,10/18/2018 15:00,11.236,136,2.68,
65,10/18/2018 21:00,10.553,10,2.68,
66,10/19/2018 3:00,10.063,0,2.68,
67,10/19/2018 9:00,13.654,0,2.68,
68,10/19/2018 15:00,13.75,128,2.7,
69,10/19/2018 21:00,12.401,9,2.72,
70,10/20/2018 3:00,11.722,0,2.7,
71,10/20/2018 9:00,14.613,0,2.7,
72,10/20/2018 15:00,14.517,128,2.72,
73,10/20/2018 21:00,12.883,8,2.72,
74,10/21/2018 3:00,12.013,0,2.72,
75,10/21/2018 9:00,13.461,0,2.7,
76,10/21/2018 15:00,12.013,160,2.72,
77,10/21/2018 21:00,10.553,10,2.7,
78,10/22/2018 3:00,9.965,0,2.7,
79,10/22/2018 9:00,13.076,0,2.68,
80,10/22/2018 15:00,12.497,128,2.72,
81,10/22/2018 21:00,10.161,11,2.7,
82,10/23/2018 3:00,8.978,0,2.68,
83,10/23/2018 9:00,12.207,0,2.7,
84,10/23/2018 15:00,6.471,432,2.7,
85,10/23/2018 21:00,5.86,12,2.68,
86,10/24/2018 3:00,5.141,0,2.67,
87,10/24/2018 9:00,9.866,0,2.67,
88,10/24/2018 15:00,7.079,432,2.67,
89,10/24/2018 21:00,5.244,6,2.68,
90,10/25/2018 3:00,5.552,0,2.67,
91,10/25/2018 9:00,10.455,0,2.67,
92,10/25/2018 15:00,8.282,352,2.68,
93,10/25/2018 21:00,9.275,0,2.68,
94,10/26/2018 3:00,8.779,0,2.7,
95,10/26/2018 9:00,10.161,0,2.68,
96,10/26/2018 15:00,9.472,128,2.68,
97,10/26/2018 21:00,6.877,2,2.7,
98,10/27/2018 3:00,6.775,0,2.67,
99,10/27/2018 9:00,10.063,0,2.67,
100,10/27/2018 15:00,10.455,216,2.68,
101,10/27/2018 21:00,9.373,0,2.68,
102,10/28/2018 3:00,6.166,0,2.7,
103,10/28/2018 9:00,5.552,0,2.67,
104,10/28/2018 15:00,3.998,232,2.67,
105,10/28/2018 21:00,0.453,0,2.67,
106,10/29/2018 3:00,0.563,0,2.65,
107,10/29/2018 9:00,0.453,0,2.65,
108,10/29/2018 15:00,1.003,448,2.63,
109,10/29/2018 21:00,1.548,0,2.65,
110,10/30/2018 3:00,1.33,0,2.65,
111,10/30/2018 9:00,2.195,0,2.65,
112,10/30/2018 15:00,3.578,88,2.65,
113,10/30/2018 21:00,3.578,0,2.65,
114,10/31/2018 3:00,3.472,0,2.65,
115,10/31/2018 9:00,5.655,0,2.65,
116,10/31/2018 15:00,6.674,152,2.65,
117,10/31/2018 21:00,7.381,0,2.67,
118,11/1/2018 3:00,7.782,0,2.67,
119,11/1/2018 9:00,9.472,0,2.67,
120,11/1/2018 15:00,9.472,272,2.68,
121,11/1/2018 21:00,8.68,0,2.68,
122,11/2/2018 3:00,7.079,0,2.68,
123,11/2/2018 9:00,7.983,0,2.67,
124,11/2/2018 15:00,6.471,152,2.67,
125,11/2/2018 21:00,4.311,0,2.67,
126,11/3/2018 3:00,3.578,0,2.67,
127,11/3/2018 9:00,6.064,0,2.65,
128,11/3/2018 15:00,5.552,216,2.65,
129,11/3/2018 21:00,4.623,0,2.65,
130,11/4/2018 3:00,4.415,0,2.67,
131,11/4/2018 9:00,6.37,0,2.67,
132,11/4/2018 15:00,4.831,192,2.65,
133,11/4/2018 21:00,3.367,0,2.65,
134,11/5/2018 3:00,2.837,0,2.65,
135,11/5/2018 9:00,3.367,0,2.65,
136,11/5/2018 15:00,3.049,66,2.65,
137,11/5/2018 21:00,2.73,0,2.65,
138,11/6/2018 3:00,1.98,0,2.65,
139,11/6/2018 9:00,2.73,0,2.63,
140,11/6/2018 15:00,1.656,120,2.65,
141,11/6/2018 21:00,0.232,0,2.63,
142,11/7/2018 3:00,0.01,0,2.62,
143,11/7/2018 9:00,0.121,0,2.62,
144,11/7/2018 15:00,0.453,62,2.62,
145,11/7/2018 21:00,-0.325,0,2.62,
146,11/8/2018 3:00,-0.549,0,2.62,
147,11/8/2018 9:00,0.232,0,2.63,
148,11/8/2018 15:00,1.003,81,2.62,
149,11/8/2018 21:00,0.453,0,2.63,
150,11/9/2018 3:00,0.563,0,2.62,
151,11/9/2018 9:00,2.624,0,2.62,
152,11/9/2018 15:00,3.261,105,2.63,
153,11/9/2018 21:00,1.656,0,2.63,
154,11/10/2018 3:00,0.343,0,2.63,
155,11/10/2018 9:00,1.003,0,2.62,
156,11/10/2018 15:00,0.343,65,2.62,
157,11/10/2018 21:00,-0.213,0,2.62,
158,11/11/2018 3:00,-0.437,0,2.62,
159,11/11/2018 9:00,1.003,0,2.63,
160,11/11/2018 15:00,2.088,72,2.62,
161,11/11/2018 21:00,1.548,0,2.63,
162,11/12/2018 3:00,1.221,0,2.63,
163,11/12/2018 9:00,3.155,0,2.63,
164,11/12/2018 15:00,4.831,78,2.63,
165,11/12/2018 21:00,3.998,0,2.63,
166,11/13/2018 3:00,4.623,0,2.65,
167,11/13/2018 9:00,7.381,0,2.65,
168,11/13/2018 15:00,6.674,256,2.65,
169,11/13/2018 21:00,4.623,0,2.65,
170,11/14/2018 3:00,3.998,0,2.65,
171,11/14/2018 9:00,7.481,0,2.65,
172,11/14/2018 15:00,5.86,368,2.67,
173,11/14/2018 21:00,4.415,0,2.65,
174,11/15/2018 3:00,3.998,0,2.65,
175,11/15/2018 9:00,5.655,0,2.65,
