Plot Title: 10169142,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",End Of File
1,10/15/2019 18:36,9.176,0,2.49,
2,10/16/2019 0:36,8.581,0,2.48,
3,10/16/2019 6:36,7.381,387.5,2.48,
4,10/16/2019 12:36,9.176,1808.3,2.48,
5,10/16/2019 18:36,7.28,0,2.48,
6,10/17/2019 0:36,5.86,0,2.46,
7,10/17/2019 6:36,4.727,0,2.48,
8,10/17/2019 12:36,4.415,688.9,2.48,
9,10/17/2019 18:36,4.831,0,2.46,
10,10/18/2019 0:36,3.788,0,2.48,
11,10/18/2019 6:36,3.788,0,2.48,
12,10/18/2019 12:36,5.655,2152.8,2.46,
13,10/18/2019 18:36,4.623,0,2.48,
14,10/19/2019 0:36,4.415,0,2.48,
15,10/19/2019 6:36,3.367,10.8,2.48,
16,10/19/2019 12:36,3.788,4305.6,2.48,
17,10/19/2019 18:36,3.261,0,2.48,
18,10/20/2019 0:36,3.155,0,2.48,
19,10/20/2019 6:36,3.049,0,2.48,
20,10/20/2019 12:36,4.727,947.2,2.48,
21,10/20/2019 18:36,5.962,0,2.48,
22,10/21/2019 0:36,5.552,0,2.48,
23,10/21/2019 6:36,5.244,0,2.48,
24,10/21/2019 12:36,7.882,3100,2.48,
25,10/21/2019 18:36,7.481,0,2.49,
26,10/22/2019 0:36,7.983,0,2.49,
27,10/22/2019 6:36,8.282,0,2.49,
28,10/22/2019 12:36,9.472,1550,2.49,
29,10/22/2019 18:36,7.983,0,2.49,
30,10/23/2019 0:36,6.37,0,2.48,
31,10/23/2019 6:36,3.261,10.8,2.48,
32,10/23/2019 12:36,6.775,1894.5,2.48,
33,10/23/2019 18:36,6.268,0,2.48,
34,10/24/2019 0:36,5.244,0,2.48,
35,10/24/2019 6:36,4.934,0,2.46,
36,10/24/2019 12:36,9.571,1076.4,2.49,
37,10/24/2019 18:36,9.965,0,2.48,
38,10/25/2019 0:36,9.373,0,2.49,
39,10/25/2019 6:36,8.779,0,2.49,
40,10/25/2019 12:36,10.944,1119.5,2.48,
41,10/25/2019 18:36,9.472,0,2.48,
42,10/26/2019 0:36,2.624,0,2.43,
43,10/26/2019 6:36,0.343,10.8,2.42,
44,10/26/2019 12:36,4.519,2927.8,2.45,
45,10/26/2019 18:36,0.674,0,2.42,
46,10/27/2019 0:36,0.121,0,2.42,
47,10/27/2019 6:36,-0.325,0,2.41,
48,10/27/2019 12:36,1.439,1141,2.42,
49,10/27/2019 18:36,0.343,0,2.42,
50,10/28/2019 0:36,0.01,0,2.41,
51,10/28/2019 6:36,0.01,0,2.41,
52,10/28/2019 12:36,2.303,1216.3,2.42,
53,10/28/2019 18:36,0.563,0,2.42,
54,10/29/2019 0:36,-0.213,0,2.41,
55,10/29/2019 6:36,-2.61,0,2.41,
56,10/29/2019 12:36,-0.549,1313.2,2.42,
57,10/29/2019 18:36,-1.228,0,2.42,
58,10/30/2019 0:36,-1.228,0,2.42,
59,10/30/2019 6:36,-0.102,0,2.41,
60,10/30/2019 12:36,2.943,1054.9,2.42,
61,10/30/2019 18:36,1.656,0,2.42,
62,10/31/2019 0:36,1.221,0,2.42,
63,10/31/2019 6:36,1.221,0,2.42,
64,10/31/2019 12:36,4.102,1463.9,2.43,
65,10/31/2019 18:36,2.943,0,2.43,
66,11/1/2019 0:36,3.049,0,2.43,
67,11/1/2019 6:36,2.943,0,2.43,
68,11/1/2019 12:36,7.481,1119.5,2.45,
69,11/1/2019 18:36,7.782,0,2.45,
70,11/2/2019 0:36,6.978,0,2.43,
71,11/2/2019 6:36,5.552,0,2.43,
72,11/2/2019 12:36,8.978,1205.6,2.45,
73,11/2/2019 18:36,7.582,0,2.45,
74,11/3/2019 0:36,6.978,0,2.45,
75,11/3/2019 6:36,6.37,0,2.43,
76,11/3/2019 12:36,9.571,1270.1,2.46,
77,11/3/2019 18:36,7.882,0,2.45,
78,11/4/2019 0:36,6.978,0,2.45,
79,11/4/2019 6:36,6.674,0,2.45,
80,11/4/2019 12:36,9.866,1259.4,2.45,
81,11/4/2019 18:36,8.779,0,2.45,
82,11/5/2019 0:36,8.182,0,2.45,
83,11/5/2019 6:36,8.282,0,2.45,
84,11/5/2019 12:36,12.304,2669.5,2.46,
85,11/5/2019 18:36,9.768,0,2.45,
86,11/6/2019 0:36,7.782,0,2.45,
87,11/6/2019 6:36,6.775,0,2.45,
88,11/6/2019 12:36,9.077,1291.7,2.46,
89,11/6/2019 18:36,7.582,0,2.45,
90,11/7/2019 0:36,7.782,0,2.45,
91,11/7/2019 6:36,6.978,0,2.45,
92,11/7/2019 12:36,11.236,1377.8,2.46,
93,11/7/2019 18:36,9.176,0,2.46,
94,11/8/2019 0:36,8.779,0,2.46,
95,11/8/2019 6:36,8.382,0,2.46,
96,11/8/2019 12:36,12.207,1313.2,2.46,
97,11/8/2019 18:36,9.472,0,2.46,
98,11/9/2019 0:36,8.481,0,2.46,
99,11/9/2019 6:36,7.782,0,2.46,
100,11/9/2019 12:36,10.553,1463.9,2.46,
101,11/9/2019 18:36,8.282,0,2.46,
102,11/10/2019 0:36,7.682,0,2.46,
103,11/10/2019 6:36,7.381,0,2.45,
104,11/10/2019 12:36,10.748,1463.9,2.46,
105,11/10/2019 18:36,8.879,0,2.46,
106,11/11/2019 0:36,7.179,0,2.45,
107,11/11/2019 6:36,7.682,0,2.46,
108,11/11/2019 12:36,9.965,1324,2.46,
109,11/11/2019 18:36,8.879,0,2.46,
110,11/12/2019 0:36,8.978,0,2.46,
111,11/12/2019 6:36,8.68,0,2.46,
112,11/12/2019 12:36,10.455,2411.1,2.46,
113,11/12/2019 18:36,7.882,0,2.46,
114,11/13/2019 0:36,6.775,0,2.45,
115,11/13/2019 6:36,6.978,0,2.46,
116,11/13/2019 12:36,10.259,861.1,2.46,
117,11/13/2019 18:36,8.779,0,2.46,
118,11/14/2019 0:36,8.082,0,2.46,
119,11/14/2019 6:36,8.082,0,2.46,
120,11/14/2019 12:36,10.553,1808.3,2.46,
121,11/14/2019 18:36,7.983,0,2.46,
122,11/15/2019 0:36,6.877,0,2.46,
123,11/15/2019 6:36,6.775,0,2.46,
124,11/15/2019 12:36,7.682,710.4,2.46,
125,11/15/2019 18:36,6.674,0,2.46,
126,11/16/2019 0:36,5.037,0,2.45,
127,11/16/2019 6:36,3.261,0,2.45,
128,11/16/2019 12:36,6.674,1205.6,2.46,
129,11/16/2019 18:36,6.268,0,2.46,
130,11/17/2019 0:36,6.064,0,2.46,
131,11/17/2019 6:36,8.182,0,2.46,
132,11/17/2019 12:36,9.176,1237.9,2.48,
133,11/17/2019 18:36,8.082,0,2.46,
134,11/18/2019 0:36,7.481,0,2.46,
135,11/18/2019 6:36,6.268,0,2.46,
136,11/18/2019 12:36,9.768,1980.6,2.46,
137,11/18/2019 18:36,7.28,0,2.46,
138,11/19/2019 0:36,5.037,0,2.45,
139,11/19/2019 6:36,4.623,0,2.46,
140,11/19/2019 12:36,5.347,366,2.45,
141,11/19/2019 18:36,3.893,0,2.45,
142,11/20/2019 0:36,2.837,0,2.45,
143,11/20/2019 6:36,1.439,0,2.42,
144,11/20/2019 12:36,1.548,1054.9,2.42,
145,11/20/2019 18:36,0.674,0,2.41,
146,11/21/2019 0:36,0.01,0,2.41,
147,11/21/2019 6:36,-0.437,0,2.42,
148,11/21/2019 12:36,2.624,979.5,2.42,
149,11/21/2019 18:36,2.41,0,2.42,
150,11/22/2019 0:36,1.764,0,2.41,
151,11/22/2019 6:36,1.33,0,2.41,
152,11/22/2019 12:36,4.102,958,2.42,
153,11/22/2019 18:36,3.049,0,2.42,
154,11/23/2019 0:36,2.517,0,2.41,
155,11/23/2019 6:36,2.837,0,2.41,
156,11/23/2019 12:36,5.757,1162.5,2.42,
157,11/23/2019 18:36,3.788,0,2.42,
158,11/24/2019 0:36,3.155,0,2.42,
159,11/24/2019 6:36,3.261,0,2.41,
160,11/24/2019 12:36,4.519,1463.9,2.42,
161,11/24/2019 18:36,1.439,0,2.41,
162,11/25/2019 0:36,0.563,0,2.39,
163,11/25/2019 6:36,0.121,0,2.39,
164,11/25/2019 12:36,0.343,86.1,2.39,
165,11/25/2019 18:36,0.343,0,2.39,
166,11/26/2019 0:36,0.343,0,2.39,
167,11/26/2019 6:36,0.343,0,2.39,
168,11/26/2019 12:36,0.343,0,2.39,
169,11/26/2019 18:36,0.453,0,2.39,
170,11/27/2019 0:36,0.453,0,2.39,
171,11/27/2019 6:36,0.453,0,2.39,
172,11/27/2019 12:36,0.453,0,2.39,
173,11/27/2019 18:36,0.453,0,2.39,
174,11/28/2019 0:36,0.343,0,2.39,
175,11/28/2019 6:36,0.232,0,2.39,
176,11/28/2019 12:36,0.343,0,2.39,
177,11/28/2019 18:36,0.232,0,2.39,
178,11/29/2019 0:36,0.01,0,2.39,
179,11/29/2019 6:36,0.01,0,2.39,
180,11/29/2019 12:36,0.01,0,2.39,
181,11/29/2019 18:36,0.121,0,2.39,
182,11/30/2019 0:36,0.01,0,2.39,
183,11/30/2019 6:36,0.01,0,2.39,
184,11/30/2019 12:36,0.121,0,2.39,
185,11/30/2019 18:36,0.121,0,2.39,
186,12/1/2019 0:36,0.232,0,2.39,
187,12/1/2019 6:36,0.343,0,2.39,
188,12/1/2019 12:36,0.343,0,2.39,
189,12/1/2019 18:36,0.343,0,2.39,
190,12/2/2019 0:36,0.343,0,2.39,
191,12/2/2019 6:36,0.453,0,2.39,
192,12/2/2019 12:36,0.343,21.5,2.38,
193,12/2/2019 18:36,0.343,0,2.38,
194,12/3/2019 0:36,0.343,0,2.38,
195,12/3/2019 6:36,0.453,0,2.38,
196,12/3/2019 12:36,0.784,269.1,2.38,
197,12/3/2019 18:36,1.548,0,2.39,
198,12/4/2019 0:36,1.656,0,2.39,
199,12/4/2019 6:36,2.195,0,2.39,
200,12/4/2019 12:36,4.415,925.7,2.41,
201,12/4/2019 18:36,3.472,0,2.39,
202,12/5/2019 0:36,2.943,0,2.39,
203,12/5/2019 6:36,3.367,0,2.39,
204,12/5/2019 12:36,4.934,710.4,2.39,
205,12/5/2019 18:36,4.311,0,2.41,
206,12/6/2019 0:36,4.415,0,2.41,
207,12/6/2019 6:36,4.623,0,2.41,
208,12/6/2019 12:36,5.347,710.4,2.39,
209,12/6/2019 18:36,4.727,0,2.41,
210,12/7/2019 0:36,3.893,0,2.41,
211,12/7/2019 6:36,3.893,0,2.41,
212,12/7/2019 12:36,5.45,1377.8,2.39,
213,12/7/2019 18:36,4.519,0,2.41,
214,12/8/2019 0:36,3.998,0,2.41,
215,12/8/2019 6:36,3.788,0,2.41,
216,12/8/2019 12:36,4.831,1636.1,2.39,
217,12/8/2019 18:36,3.578,0,2.41,
218,12/9/2019 0:36,2.624,0,2.39,
219,12/9/2019 6:36,0.563,0,2.38,
220,12/9/2019 12:36,3.155,1033.3,2.41,
221,12/9/2019 18:36,1.98,0,2.39,
222,12/10/2019 0:36,1.656,0,2.39,
223,12/10/2019 6:36,1.003,0,2.38,
224,12/10/2019 12:36,4.102,1808.3,2.41,
225,12/10/2019 18:36,1.439,0,2.38,
226,12/11/2019 0:36,1.33,0,2.38,
227,12/11/2019 6:36,2.624,0,2.39,
228,12/11/2019 12:36,3.683,183,2.39,
229,12/11/2019 18:36,2.943,0,2.39,
230,12/12/2019 0:36,4.415,0,2.41,
231,12/12/2019 6:36,4.102,0,2.41,
232,12/12/2019 12:36,1.656,43.1,2.38,
233,12/12/2019 18:36,0.232,0,2.38,
234,12/13/2019 0:36,0.232,0,2.38,
235,12/13/2019 6:36,0.232,0,2.38,
236,12/13/2019 12:36,0.232,409,2.38,
237,12/13/2019 18:36,0.232,0,2.38,
238,12/14/2019 0:36,0.232,0,2.38,
239,12/14/2019 6:36,0.232,0,2.38,
240,12/14/2019 12:36,0.343,236.8,2.38,
241,12/14/2019 18:36,0.232,0,2.38,
242,12/15/2019 0:36,0.01,0,2.38,
243,12/15/2019 6:36,-0.102,0,2.37,
244,12/15/2019 12:36,0.121,258.3,2.38,
245,12/15/2019 18:36,-0.102,0,2.38,
246,12/16/2019 0:36,-0.213,0,2.37,
247,12/16/2019 6:36,-0.102,0,2.37,
248,12/16/2019 12:36,0.232,107.6,2.38,
249,12/16/2019 18:36,0.232,0,2.38,
250,12/17/2019 0:36,0.232,0,2.38,
251,12/17/2019 6:36,0.232,0,2.38,
252,12/17/2019 12:36,0.343,322.9,2.38,
253,12/17/2019 18:36,0.232,0,2.38,
254,12/18/2019 0:36,0.232,0,2.38,
255,12/18/2019 6:36,0.343,0,2.38,
256,12/18/2019 12:36,0.343,462.9,2.38,
257,12/18/2019 18:36,0.343,0,2.38,
258,12/19/2019 0:36,0.343,0,2.38,
259,12/19/2019 6:36,0.343,0,2.38,
260,12/19/2019 12:36,0.343,0,2.37,
261,12/19/2019 18:36,0.343,0,2.37,
262,12/20/2019 0:36,0.343,0,2.37,
263,12/20/2019 6:36,0.343,0,2.37,
264,12/20/2019 12:36,0.343,172.2,2.37,
265,12/20/2019 18:36,0.343,0,2.37,
266,12/21/2019 0:36,0.343,0,2.37,
267,12/21/2019 6:36,0.784,0,2.37,
268,12/21/2019 12:36,2.088,193.8,2.38,
269,12/21/2019 18:36,0.232,0,2.37,
270,12/22/2019 0:36,0.343,0,2.37,
271,12/22/2019 6:36,0.563,0,2.37,
272,12/22/2019 12:36,1.764,968.8,2.38,
273,12/22/2019 18:36,1.33,0,2.38,
274,12/23/2019 0:36,0.232,0,2.37,
275,12/23/2019 6:36,0.01,0,2.37,
276,12/23/2019 12:36,0.232,139.9,2.37,
277,12/23/2019 18:36,-0.213,0,2.37,
278,12/24/2019 0:36,-0.437,0,2.38,
279,12/24/2019 6:36,-0.549,0,2.37,
280,12/24/2019 12:36,-0.102,387.5,2.37,
281,12/24/2019 18:36,-0.213,0,2.35,
282,12/25/2019 0:36,-0.102,0,2.37,
283,12/25/2019 6:36,0.01,0,2.37,
284,12/25/2019 12:36,0.232,279.9,2.37,
285,12/25/2019 18:36,0.01,0,2.37,
286,12/26/2019 0:36,-0.213,0,2.35,
287,12/26/2019 6:36,-0.437,0,2.37,
288,12/26/2019 12:36,-0.102,129.2,2.35,
289,12/26/2019 18:36,-0.325,0,2.35,
290,12/27/2019 0:36,-0.213,0,2.35,
291,12/27/2019 6:36,-0.102,0,2.35,
292,12/27/2019 12:36,0.232,204.5,2.35,
293,12/27/2019 18:36,0.01,0,2.35,
294,12/28/2019 0:36,-0.213,0,2.35,
295,12/28/2019 6:36,0.121,0,2.35,
296,12/28/2019 12:36,0.232,215.3,2.35,
297,12/28/2019 18:36,0.232,0,2.35,
298,12/29/2019 0:36,0.232,0,2.35,
299,12/29/2019 6:36,0.232,0,2.35,
300,12/29/2019 12:36,0.343,1076.4,2.35,
301,12/29/2019 18:36,0.343,0,2.35,
302,12/30/2019 0:36,0.453,0,2.35,
303,12/30/2019 6:36,0.453,0,2.35,
304,12/30/2019 12:36,1.221,1259.4,2.37,
305,12/30/2019 18:36,0.674,0,2.35,
306,12/31/2019 0:36,0.453,0,2.35,
307,12/31/2019 6:36,0.893,0,2.35,
308,12/31/2019 12:36,3.998,3788.9,2.37,
309,12/31/2019 18:36,1.98,0,2.37,
310,1/1/2020 0:36,3.893,0,2.38,
311,1/1/2020 6:36,3.998,0,2.38,
312,1/1/2020 12:36,4.623,5338.9,2.38,
313,1/1/2020 18:36,0.453,0,2.35,
314,1/2/2020 0:36,0.232,0,2.35,
315,1/2/2020 6:36,0.232,0,2.35,
316,1/2/2020 12:36,1.112,2583.4,2.35,
317,1/2/2020 18:36,1.33,0,2.35,
318,1/3/2020 0:36,0.563,0,2.35,
319,1/3/2020 6:36,0.121,0,2.35,
320,1/3/2020 12:36,3.578,1205.6,2.37,
321,1/3/2020 18:36,3.472,0,2.37,
322,1/4/2020 0:36,1.33,0,2.35,
323,1/4/2020 6:36,0.232,0,2.35,
324,1/4/2020 12:36,0.343,10.8,2.35,
325,1/4/2020 18:36,0.343,0,2.35,
326,1/5/2020 0:36,0.343,0,2.35,
327,1/5/2020 6:36,0.232,0,2.35,
