Plot Title: 10169166,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",Bad Battery,End Of File
1,10/15/2019 12:36,11.722,2411.1,2.91,,
2,10/15/2019 18:36,11.139,0,2.93,,
3,10/16/2019 0:36,10.553,0,2.93,,
4,10/16/2019 6:36,8.68,129.2,2.93,,
5,10/16/2019 12:36,8.082,473.6,2.93,,
6,10/16/2019 18:36,6.674,0,2.91,,
7,10/17/2019 0:36,5.037,0,2.89,,
8,10/17/2019 6:36,3.578,0,2.89,,
9,10/17/2019 12:36,3.367,193.8,2.89,,
10,10/17/2019 18:36,3.998,0,2.89,,
11,10/18/2019 0:36,2.943,0,2.89,,
12,10/18/2019 6:36,2.624,0,2.87,,
13,10/18/2019 12:36,4.207,1291.7,2.89,,
14,10/18/2019 18:36,3.788,0,2.89,,
15,10/19/2019 0:36,3.683,0,2.87,,
16,10/19/2019 6:36,2.303,0,2.85,,
17,10/19/2019 12:36,2.41,516.7,2.85,,
18,10/19/2019 18:36,2.303,0,2.85,,
19,10/20/2019 0:36,2.517,0,2.83,,
20,10/20/2019 6:36,2.41,0,2.83,,
21,10/20/2019 12:36,3.998,925.7,2.85,,
22,10/20/2019 18:36,5.962,0,2.85,,
23,10/21/2019 0:36,4.934,0,2.85,,
24,10/21/2019 6:36,4.727,0,2.85,,
25,10/21/2019 12:36,7.481,2497.2,2.87,,
26,10/21/2019 18:36,7.079,0,2.87,,
27,10/22/2019 0:36,7.882,0,2.87,,
28,10/22/2019 6:36,8.182,0,2.87,,
29,10/22/2019 12:36,10.161,1356.3,2.85,,
30,10/22/2019 18:36,8.779,0,2.87,,
31,10/23/2019 0:36,5.45,0,2.83,,
32,10/23/2019 6:36,3.683,0,2.83,,
33,10/23/2019 12:36,8.182,3100,2.85,,
34,10/23/2019 18:36,6.978,0,2.85,,
35,10/24/2019 0:36,5.962,0,2.83,,
36,10/24/2019 6:36,6.471,0,2.83,,
37,10/24/2019 12:36,11.916,2238.9,2.85,,
38,10/24/2019 18:36,12.013,0,2.87,,
39,10/25/2019 0:36,11.722,0,2.87,,
40,10/25/2019 6:36,10.651,0,2.85,,
41,10/25/2019 12:36,11.916,3444.5,2.85,,
42,10/25/2019 18:36,8.978,0,2.87,,
43,10/26/2019 0:36,1.221,0,2.79,,
44,10/26/2019 6:36,0.343,0,2.75,Logged,
45,10/26/2019 12:36,2.837,2755.6,2.79,,
46,10/26/2019 18:36,0.784,0,2.75,,
47,10/27/2019 0:36,-0.887,0,2.75,,
