Plot Title: 20400439,,,,,
#,"Date Time, GMT-07:00","Temp, °C","Intensity, Lux",Bad Battery,End Of File
1,10/15/2019 15:00,12.013,1205.6,,
2,10/15/2019 21:00,11.041,0,,
3,10/16/2019 3:00,10.259,0,,
4,10/16/2019 9:00,9.571,333.7,,
5,10/16/2019 15:00,7.481,312.2,,
6,10/16/2019 21:00,6.37,0,,
7,10/17/2019 3:00,4.207,0,,
8,10/17/2019 9:00,3.367,118.4,,
9,10/17/2019 15:00,3.472,43.1,,
10,10/17/2019 21:00,4.207,0,,
11,10/18/2019 3:00,2.624,0,,
12,10/18/2019 9:00,2.837,86.1,,
13,10/18/2019 15:00,3.998,473.6,,
14,10/18/2019 21:00,3.788,0,,
15,10/19/2019 3:00,3.578,0,,
16,10/19/2019 9:00,2.088,0,,
17,10/19/2019 15:00,2.303,1216.3,,
18,10/19/2019 21:00,1.764,0,,
19,10/20/2019 3:00,2.517,0,,
20,10/20/2019 9:00,2.517,118.4,,
21,10/20/2019 15:00,4.623,118.4,,
22,10/20/2019 21:00,6.064,0,,
23,10/21/2019 3:00,4.831,0,,
24,10/21/2019 9:00,4.934,193.8,,
25,10/21/2019 15:00,6.978,236.8,,
26,10/21/2019 21:00,7.179,0,,
27,10/22/2019 3:00,7.882,0,,
28,10/22/2019 9:00,8.382,64.6,,
29,10/22/2019 15:00,10.063,624.3,,
30,10/22/2019 21:00,8.282,0,,
31,10/23/2019 3:00,3.367,0,,
32,10/23/2019 9:00,3.578,21.5,,
33,10/23/2019 15:00,8.68,947.2,,
34,10/23/2019 21:00,6.471,0,,
35,10/24/2019 3:00,5.552,0,,
36,10/24/2019 9:00,6.268,10.8,,
37,10/24/2019 15:00,12.69,1162.5,,
38,10/24/2019 21:00,11.722,0,,
39,10/25/2019 3:00,11.431,0,,
40,10/25/2019 9:00,10.259,10.8,,
41,10/25/2019 15:00,12.497,516.7,,
42,10/25/2019 21:00,7.682,0,,
43,10/26/2019 3:00,0.893,0,Logged,
44,10/26/2019 9:00,0.121,21.5,,
45,10/26/2019 15:00,2.943,839.6,,
46,10/26/2019 21:00,0.232,0,,
47,10/27/2019 3:00,-0.549,0,,
48,10/27/2019 9:00,-1.114,21.5,,
49,10/27/2019 15:00,1.548,1291.7,,
50,10/27/2019 21:00,0.343,0,,
51,10/28/2019 3:00,0.453,0,,
52,10/28/2019 9:00,0.674,10.8,,
