Plot Title: 10169143,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",Bad Battery,End Of File
1,9/1/2020 0:36,13.365,0,2.74,,
2,9/1/2020 6:36,16.332,32.3,2.74,,
3,9/1/2020 12:36,22.621,3444.5,2.75,,
4,9/1/2020 18:36,21.664,0,2.75,,
5,9/2/2020 0:36,18.806,0,2.75,,
6,9/2/2020 6:36,17.855,21.5,2.75,,
7,9/2/2020 12:36,24.545,3616.7,2.77,,
8,9/2/2020 18:36,22.717,10.8,2.77,,
9,9/3/2020 0:36,19.472,0,2.77,,
10,9/3/2020 6:36,19.567,64.6,2.77,,
11,9/3/2020 12:36,27.173,3616.7,2.79,,
12,9/3/2020 18:36,25.125,0,2.77,,
13,9/4/2020 0:36,20.996,0,2.77,,
14,9/4/2020 6:36,19.472,64.6,2.77,,
15,9/4/2020 12:36,24.835,3444.5,2.79,,
16,9/4/2020 18:36,20.805,0,2.77,,
17,9/5/2020 0:36,16.523,0,2.75,,
18,9/5/2020 6:36,15.664,32.3,2.75,,
19,9/5/2020 12:36,21.378,3616.7,2.75,,
20,9/5/2020 18:36,19.948,0,2.75,,
21,9/6/2020 0:36,16.999,0,2.75,,
22,9/6/2020 6:36,18.045,32.3,2.75,,
23,9/6/2020 12:36,25.125,3616.7,2.77,,
24,9/6/2020 18:36,22.142,0,2.77,,
25,9/7/2020 0:36,18.616,0,2.77,,
26,9/7/2020 6:36,17.189,21.5,2.75,,
27,9/7/2020 12:36,23.581,3272.2,2.77,,
28,9/7/2020 18:36,16.046,0,2.75,,
29,9/8/2020 0:36,10.553,0,2.72,,
30,9/8/2020 6:36,8.779,236.8,2.74,,
31,9/8/2020 12:36,17.76,3444.5,2.74,,
32,9/8/2020 18:36,15.378,0,2.74,,
33,9/9/2020 0:36,13.076,0,2.74,,
34,9/9/2020 6:36,11.722,21.5,2.72,,
35,9/9/2020 12:36,21.664,3272.2,2.75,,
36,9/9/2020 18:36,19.662,0,2.74,,
37,9/10/2020 0:36,16.523,0,2.74,,
38,9/10/2020 6:36,16.046,118.4,2.74,,
39,9/10/2020 12:36,20.901,818.1,2.75,,
40,9/10/2020 18:36,19.472,0,2.75,,
41,9/11/2020 0:36,14.804,0,2.75,,
42,9/11/2020 6:36,14.9,107.6,2.75,,
43,9/11/2020 12:36,18.806,1636.1,2.75,,
44,9/11/2020 18:36,16.427,0,2.74,,
45,9/12/2020 0:36,15.091,0,2.74,,
46,9/12/2020 6:36,15.569,118.4,2.74,,
47,9/12/2020 12:36,19.948,1808.3,2.74,,
48,9/12/2020 18:36,16.903,0,2.74,,
49,9/13/2020 0:36,16.903,0,2.74,,
50,9/13/2020 6:36,17.189,204.5,2.74,,
51,9/13/2020 12:36,20.901,1722.2,2.75,,
52,9/13/2020 18:36,17.855,0,2.75,,
53,9/14/2020 0:36,16.427,0,2.74,,
54,9/14/2020 6:36,16.999,32.3,2.74,,
55,9/14/2020 12:36,20.043,1808.3,2.74,,
56,9/14/2020 18:36,16.808,0,2.74,,
57,9/15/2020 0:36,16.141,0,2.74,,
58,9/15/2020 6:36,16.427,139.9,2.74,,
59,9/15/2020 12:36,21.187,1980.6,2.75,,
60,9/15/2020 18:36,17.57,0,2.74,,
61,9/16/2020 0:36,15.378,0,2.74,,
62,9/16/2020 6:36,16.618,86.1,2.74,,
63,9/16/2020 12:36,21.473,2325,2.75,,
64,9/16/2020 18:36,15.951,0,2.74,,
65,9/17/2020 0:36,13.654,0,2.74,,
66,9/17/2020 6:36,13.75,161.5,2.74,,
67,9/17/2020 12:36,19.377,2497.2,2.75,,
