Plot Title: 10169155,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",Bad Battery,Coupler Attached,Stopped,End Of File
1,9/5/2020 20:16,18.711,0,3.05,,,,
2,9/6/2020 2:16,18.045,0,3.03,,,,
3,9/6/2020 8:16,19.758,1463.9,3.03,,,,
4,9/6/2020 14:16,30.963,5511.1,3.08,,,,
5,9/6/2020 20:16,21.569,0,3.03,,,,
6,9/7/2020 2:16,18.521,0,3.01,,,,
7,9/7/2020 8:16,18.14,1162.5,2.99,,,,
8,9/7/2020 14:16,25.902,13089,3.01,,,,
9,9/7/2020 20:16,12.013,0,2.93,,,,
10,9/8/2020 2:16,9.373,0,2.91,,,,
11,9/8/2020 8:16,9.768,1313.2,2.89,,,,
12,9/8/2020 14:16,21.855,52355.9,2.97,,,,
13,9/8/2020 20:16,13.076,0,2.93,,,,
14,9/9/2020 2:16,13.076,0,2.91,,,,
15,9/9/2020 8:16,13.75,1280.9,2.91,,,,
16,9/9/2020 14:16,28.159,30311.3,2.99,,,,
17,9/9/2020 20:16,17.76,0,2.95,,,,
18,9/10/2020 2:16,17.284,0,2.93,,,,
19,9/10/2020 8:16,19.187,1808.3,2.95,,,,
20,9/10/2020 14:16,22.621,2152.8,2.97,,,,
21,9/10/2020 20:16,18.045,0,2.93,,,,
22,9/11/2020 2:16,14.421,0,2.91,,,,
23,9/11/2020 8:16,16.332,1377.8,2.91,,,,
24,9/11/2020 14:16,21.569,3444.5,2.93,,,,
25,9/11/2020 20:16,15.378,0,2.89,,,,
26,9/12/2020 2:16,15.951,0,2.89,,,,
27,9/12/2020 8:16,16.808,1808.3,2.91,,,,
28,9/12/2020 14:16,22.046,3444.5,2.93,,,,
29,9/12/2020 20:16,16.523,0,2.91,,,,
30,9/13/2020 2:16,17.189,0,2.91,,,,
31,9/13/2020 8:16,19.187,1894.5,2.93,,,,
32,9/13/2020 14:16,22.429,3616.7,2.93,,,,
33,9/13/2020 20:16,16.523,0,2.91,,,,
34,9/14/2020 2:16,17.189,0,2.91,,,,
35,9/14/2020 8:16,18.331,1808.3,2.91,,,,
36,9/14/2020 14:16,21.187,3616.7,2.91,,,,
37,9/14/2020 20:16,16.427,0,2.89,,,,
38,9/15/2020 2:16,16.713,0,2.89,,,,
