Plot Title: 10166292,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",Bad Battery,Coupler Attached,Stopped,End Of File
1,9/5/2020 20:16,15.76,0,2.97,,,,
2,9/6/2020 2:16,14.709,0,2.95,,,,
3,9/6/2020 8:16,18.045,4305.6,2.95,,,,
4,9/6/2020 14:16,25.222,4822.3,2.97,,,,
5,9/6/2020 20:16,19.282,0,2.95,,,,
6,9/7/2020 2:16,16.046,0,2.91,,,,
7,9/7/2020 8:16,17.189,2669.5,2.91,,,,
8,9/7/2020 14:16,23.292,5166.7,2.95,,,,
9,9/7/2020 20:16,11.431,0,2.89,,,,
10,9/8/2020 2:16,8.581,0,2.87,,,,
11,9/8/2020 8:16,9.077,5166.7,2.85,,,,
12,9/8/2020 14:16,17.379,3961.1,2.89,,,,
13,9/8/2020 20:16,11.528,0,2.85,,,,
14,9/9/2020 2:16,10.748,0,2.85,,,,
15,9/9/2020 8:16,12.013,4994.5,2.85,,,,
16,9/9/2020 14:16,21.282,3788.9,2.89,,,,
17,9/9/2020 20:16,14.996,0,2.87,,,,
18,9/10/2020 2:16,13.654,0,2.85,,,,
19,9/10/2020 8:16,16.427,5166.7,2.85,,,,
20,9/10/2020 14:16,20.805,4650,2.87,,,,
21,9/10/2020 20:16,15.569,0,2.85,,,,
22,9/11/2020 2:16,11.819,0,2.83,,,,
23,9/11/2020 8:16,14.421,4133.4,2.85,,,,
24,9/11/2020 14:16,20.901,7233.4,2.85,,,,
25,9/11/2020 20:16,13.461,0,2.85,,,,
26,9/12/2020 2:16,12.304,0,2.83,,,,
27,9/12/2020 8:16,14.996,4133.4,2.85,,,,
28,9/12/2020 14:16,21.091,7233.4,2.85,,,,
29,9/12/2020 20:16,13.846,0,2.85,,,,
30,9/13/2020 2:16,13.269,0,2.83,,,,
31,9/13/2020 8:16,16.523,4650,2.83,,,,
32,9/13/2020 14:16,21.378,6544.5,2.85,,,,
33,9/13/2020 20:16,14.804,0,2.85,,,,
34,9/14/2020 2:16,13.654,0,2.83,,,,
35,9/14/2020 8:16,16.523,4650,2.83,,,,
36,9/14/2020 14:16,20.805,6200,2.83,,,,
37,9/14/2020 20:16,14.038,0,2.85,,,,
38,9/15/2020 2:16,13.365,0,2.85,,,,
39,9/15/2020 8:16,15.378,4133.4,2.83,,,,
40,9/15/2020 14:16,21.855,7233.4,2.87,,,,
41,9/15/2020 20:16,14.325,0,2.85,,,,
42,9/16/2020 2:16,13.365,0,2.85,,,,
43,9/16/2020 8:16,15.569,5338.9,2.85,,,,
44,9/16/2020 14:16,21.951,6544.5,2.87,,,,
45,9/16/2020 20:16,12.787,0,2.85,,,,
46,9/17/2020 2:16,10.944,0,2.85,,,,
47,9/17/2020 8:16,14.325,5166.7,2.85,,,,
48,9/17/2020 14:16,19.948,6200,2.85,,,,
49,9/17/2020 20:16,12.304,0,2.85,,,,
50,9/18/2020 2:16,11.722,0,2.83,,,,
51,9/18/2020 8:16,11.819,1894.5,2.83,,,,
52,9/18/2020 14:16,9.077,505.9,2.83,,,,
53,9/18/2020 20:16,8.68,0,2.81,,,,
54,9/19/2020 2:16,8.978,0,2.81,,,,
55,9/19/2020 8:16,9.768,2238.9,2.79,,,,
56,9/19/2020 14:16,12.594,8611.2,2.81,,,,
57,9/19/2020 20:16,8.382,0,2.79,,,,
58,9/20/2020 2:16,7.179,0,2.79,,,,
59,9/20/2020 8:16,7.882,2411.1,2.79,,,,
60,9/20/2020 14:16,12.594,3100,2.81,,,,
61,9/20/2020 20:16,10.161,0,2.79,,,,
62,9/21/2020 2:16,8.978,0,2.79,,,,
63,9/21/2020 8:16,9.571,2325,2.79,,,,
64,9/21/2020 14:16,14.325,5338.9,2.83,,,,
65,9/21/2020 20:16,10.651,0,2.79,,,,
66,9/22/2020 2:16,10.161,0,2.79,,,,
67,9/22/2020 8:16,11.041,5166.7,2.79,,,,
68,9/22/2020 14:16,13.75,4822.3,2.81,,,,
69,9/22/2020 20:16,9.965,0,2.79,,,,
70,9/23/2020 2:16,10.063,0,2.77,,,,
71,9/23/2020 8:16,12.207,4650,2.79,,,,
72,9/23/2020 14:16,16.046,7577.8,2.81,,,,
73,9/23/2020 20:16,10.259,0,2.79,,,,
74,9/24/2020 2:16,8.581,0,2.79,,,,
75,9/24/2020 8:16,8.779,6544.5,2.77,,,,
76,9/24/2020 14:16,11.916,5338.9,2.79,,,,
77,9/24/2020 20:16,7.381,0,2.77,,,,
78,9/25/2020 2:16,6.978,0,2.77,,,,
79,9/25/2020 8:16,6.471,1076.4,2.75,Logged,,,
80,9/25/2020 14:16,8.68,861.1,2.77,,,,
81,9/25/2020 20:16,8.978,0,2.77,,,,
82,9/26/2020 2:16,7.782,0,2.77,,,,
83,9/26/2020 8:16,8.282,5166.7,2.75,,,,
84,9/26/2020 14:16,9.965,2411.1,2.77,,,,
85,9/26/2020 20:16,7.481,0,2.75,,,,
86,9/27/2020 2:16,5.86,0,2.75,,,,
87,9/27/2020 8:16,6.37,1808.3,2.74,,,,
88,9/27/2020 14:16,10.455,2238.9,2.77,,,,
89,9/27/2020 20:16,9.472,0,2.77,,,,
90,9/28/2020 2:16,7.782,0,2.75,,,,
91,9/28/2020 8:16,10.259,1894.5,2.75,,,,
92,9/28/2020 14:16,15.473,2325,2.79,,,,
93,9/28/2020 20:16,12.883,0,2.79,,,,
94,9/29/2020 2:16,11.236,0,2.77,,,,
95,9/29/2020 8:16,12.11,1980.6,2.79,,,,
96,9/29/2020 14:16,16.903,2411.1,2.81,,,,
97,9/29/2020 20:16,14.421,0,2.81,,,,
98,9/30/2020 2:16,13.75,0,2.81,,,,
99,9/30/2020 8:16,14.421,1808.3,2.81,,,,
100,9/30/2020 14:16,17.475,2325,2.83,,,,
101,9/30/2020 20:16,14.517,0,2.81,,,,
102,10/1/2020 2:16,14.421,0,2.81,,,,
103,10/1/2020 8:16,14.996,2497.2,2.81,,,,
104,10/1/2020 14:16,18.521,3100,2.83,,,,
105,10/1/2020 20:16,14.996,0,2.81,,,,
106,10/2/2020 2:16,14.23,0,2.81,,,,
107,10/2/2020 8:16,13.942,2238.9,2.81,,,,
108,10/2/2020 14:16,17.57,3272.2,2.83,,,,
109,10/2/2020 20:16,13.942,0,2.81,,,,
110,10/3/2020 2:16,12.98,0,2.81,,,,
111,10/3/2020 8:16,13.461,2411.1,2.81,,,,
112,10/3/2020 14:16,16.427,3444.5,2.81,,,,
113,10/3/2020 20:16,12.787,0,2.81,,,,
114,10/4/2020 2:16,11.334,0,2.79,,,,
115,10/4/2020 8:16,11.819,1550,2.79,,,,
116,10/4/2020 14:16,14.613,2066.7,2.81,,,,
117,10/4/2020 20:16,11.334,0,2.79,,,,
118,10/5/2020 2:16,10.455,0,2.77,,,,
119,10/5/2020 8:16,12.11,1463.9,2.79,,,,
120,10/5/2020 14:16,15.951,1980.6,2.81,,,,
121,10/5/2020 20:16,13.365,0,2.81,,,,
122,10/6/2020 2:16,13.076,0,2.79,,,,
123,10/6/2020 8:16,13.558,1550,2.81,,,,
124,10/6/2020 14:16,17.189,2238.9,2.81,,,,
125,10/6/2020 20:16,13.846,0,2.81,,,,
126,10/7/2020 2:16,12.11,0,2.79,,,,
127,10/7/2020 8:16,13.365,4305.6,2.79,,,,
128,10/7/2020 14:16,16.237,3788.9,2.81,,,,
129,10/7/2020 20:16,10.944,0,2.77,,,,
130,10/8/2020 2:16,9.768,0,2.77,,,,
131,10/8/2020 8:16,9.965,1463.9,2.77,,,,
132,10/8/2020 14:16,13.269,1980.6,2.79,,,,
133,10/8/2020 20:16,9.768,0,2.75,,,,
134,10/9/2020 2:16,8.779,0,2.77,,,,
135,10/9/2020 8:16,9.866,1722.2,2.75,,,,
136,10/9/2020 14:16,13.461,2325,2.79,,,,
137,10/9/2020 20:16,9.472,0,2.77,,,,
138,10/10/2020 2:16,8.978,0,2.77,,,,
139,10/10/2020 8:16,7.179,344.4,2.75,,,,
