Plot Title: 10169152,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",End Of File
1,9/1/2020 0:36,13.654,0,2.02,
2,9/1/2020 6:36,16.999,0,2.04,
3,9/1/2020 12:36,24.738,129.2,2.08,
4,9/1/2020 18:36,21.473,0,2.05,
5,9/2/2020 0:36,19.377,0,2.05,
6,9/2/2020 6:36,18.616,0,2.05,
7,9/2/2020 12:36,26.781,129.2,2.09,
8,9/2/2020 18:36,22.429,0,2.06,
9,9/3/2020 0:36,20.329,0,2.04,
10,9/3/2020 6:36,20.043,0,2.04,
11,9/3/2020 12:36,29.053,129.2,2.1,
12,9/3/2020 18:36,24.931,0,2.08,
13,9/4/2020 0:36,20.901,0,2.04,
14,9/4/2020 6:36,19.662,0,2.04,
15,9/4/2020 12:36,25.708,107.6,2.07,
16,9/4/2020 18:36,20.329,0,2.04,
17,9/5/2020 0:36,16.141,0,2.01,
18,9/5/2020 6:36,15.378,0,2.01,
19,9/5/2020 12:36,22.621,129.2,2.05,
20,9/5/2020 18:36,18.996,0,2.04,
21,9/6/2020 0:36,17.475,0,2.02,
22,9/6/2020 6:36,18.806,0,2.04,
23,9/6/2020 12:36,27.173,129.2,2.08,
24,9/6/2020 18:36,22.238,0,2.04,
25,9/7/2020 0:36,18.331,0,2.03,
26,9/7/2020 6:36,17.284,0,2.02,
27,9/7/2020 12:36,25.416,107.6,2.06,
28,9/7/2020 18:36,14.996,0,2,
29,9/8/2020 0:36,10.063,0,1.98,
30,9/8/2020 6:36,8.282,0,1.98,
31,9/8/2020 12:36,18.521,129.2,2.03,
32,9/8/2020 18:36,14.996,0,2.01,
33,9/9/2020 0:36,13.461,0,2,
34,9/9/2020 6:36,13.461,0,2,
35,9/9/2020 12:36,23.966,107.6,2.06,
36,9/9/2020 18:36,19.948,0,2.03,
37,9/10/2020 0:36,18.045,0,2.02,
38,9/10/2020 6:36,17.95,0,2.02,
39,9/10/2020 12:36,23.196,43.1,2.05,
40,9/10/2020 18:36,19.567,0,2.03,
41,9/11/2020 0:36,14.23,0,1.99,
42,9/11/2020 6:36,14.9,0,2,
43,9/11/2020 12:36,21.091,86.1,2.04,
44,9/11/2020 18:36,15.951,0,2,
45,9/12/2020 0:36,14.709,0,2,
46,9/12/2020 6:36,15.282,0,2,
47,9/12/2020 12:36,21.855,129.2,2.04,
48,9/12/2020 18:36,16.618,0,2.01,
49,9/13/2020 0:36,16.523,0,2,
50,9/13/2020 6:36,17.094,0,2.01,
51,9/13/2020 12:36,22.333,107.6,2.04,
52,9/13/2020 18:36,17.665,0,2.01,
53,9/14/2020 0:36,16.332,0,2,
54,9/14/2020 6:36,16.332,0,2,
55,9/14/2020 12:36,20.901,107.6,2.03,
56,9/14/2020 18:36,16.618,0,2,
57,9/15/2020 0:36,16.046,0,1.99,
