"Plot Title: 10169187"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10169187, SEN S/N: 10169187)","Intensity, Lux (LGR S/N: 10169187, SEN S/N: 10169187)","Batt, V (LGR S/N: 10169187, SEN S/N: 10169187)","Bad Battery (LGR S/N: 10169187)","End Of File (LGR S/N: 10169187)"
1,10/14/19 06:36:32 PM,8.182,0.0,2.93,,
2,10/15/19 12:36:32 AM,8.680,0.0,2.97,,
3,10/15/19 06:36:32 AM,8.680,53.8,2.97,,
4,10/15/19 12:36:32 PM,12.304,3961.1,2.99,,
5,10/15/19 06:36:32 PM,10.259,0.0,2.95,,
6,10/16/19 12:36:32 AM,10.161,0.0,2.95,,
7,10/16/19 06:36:32 AM,8.282,129.2,2.95,,
8,10/16/19 12:36:32 PM,7.381,1313.2,2.93,,
9,10/16/19 06:36:32 PM,6.573,0.0,2.91,,
10,10/17/19 12:36:32 AM,4.934,0.0,2.87,,
11,10/17/19 06:36:32 AM,3.578,0.0,2.89,,
12,10/17/19 12:36:32 PM,3.261,624.3,2.87,,
13,10/17/19 06:36:32 PM,3.998,0.0,2.87,,
14,10/18/19 12:36:32 AM,2.837,0.0,2.85,,
15,10/18/19 06:36:32 AM,2.517,0.0,2.83,,
16,10/18/19 12:36:32 PM,4.311,1808.3,2.85,,
17,10/18/19 06:36:32 PM,3.893,0.0,2.85,,
18,10/19/19 12:36:32 AM,3.578,0.0,2.83,,
19,10/19/19 06:36:32 AM,2.303,0.0,2.81,,
20,10/19/19 12:36:32 PM,2.303,312.2,2.81,,
21,10/19/19 06:36:32 PM,1.980,0.0,2.81,,
22,10/20/19 12:36:32 AM,2.303,0.0,2.81,,
23,10/20/19 06:36:32 AM,2.195,0.0,2.79,,
24,10/20/19 12:36:32 PM,3.788,1550.0,2.81,,
25,10/20/19 06:36:32 PM,5.757,0.0,2.83,,
26,10/21/19 12:36:32 AM,4.831,0.0,2.81,,
27,10/21/19 06:36:32 AM,4.519,0.0,2.83,,
28,10/21/19 12:36:32 PM,7.381,3788.9,2.85,,
29,10/21/19 06:36:32 PM,6.877,0.0,2.85,,
30,10/22/19 12:36:32 AM,7.782,0.0,2.85,,
31,10/22/19 06:36:32 AM,7.983,10.8,2.85,,
32,10/22/19 12:36:32 PM,10.455,6200.0,2.85,,
33,10/22/19 06:36:32 PM,8.680,0.0,2.87,,
34,10/23/19 12:36:32 AM,6.471,0.0,2.83,,
35,10/23/19 06:36:32 AM,3.998,10.8,2.81,,
