HOBO,Year,SnowDays,Last Day
10166262,2013,24,147
10166264,2013,23,145
10166265,2013,35,147
10166266,2013,24,146
10166267,2013,24,146
10166268,2013,28,145
10166270,2013,36,145
10166271,2013,19,144
10166272,2013,23,145
10166274,2013,52,147
10166275,2013,19,145
10166277,2013,21,145
10166278,2013,43,147
10166279,2013,24,145
10166280,2013,25,145
10166281,2013,38,146
10166282,2013,15,109
10166283,2013,34,145
10166284,2013,25,145
10166285,2013,24,145
10166287,2013,37,146
10166288,2013,30,111
10166291,2013,22,145
10166292,2013,55,147
10166293,2013,24,145
10166294,2013,21,146
10166295,2013,23,145
10166296,2013,24,145
10166297,2013,29,146
10166298,2013,18,145
10166300,2013,56,146
10166301,2013,18,144
10166302,2013,23,145
10166303,2013,25,145
10166304,2013,44,146
10166305,2013,26,145
10166306,2013,27,145
10166307,2013,39,147
10166311,2013,18,144
10166314,2013,33,145
10166315,2013,30,145
10166316,2013,52,145
10166318,2013,16,144
10166319,2013,41,145
10166320,2013,16,108
10166321,2013,30,146
10166322,2013,29,145
10166323,2013,57,148
10169126,2013,32,146
10169127,2013,41,146
10169128,2013,42,146
10169129,2013,18,144
10169130,2013,33,144
10169131,2013,27,146
10169133,2013,23,146
10169135,2013,18,108
10169139,2013,22,145
10169140,2013,23,146
10169142,2013,26,145
10169143,2013,19,145
10169144,2013,33,145
10169145,2013,20,145
10169146,2013,23,146
10169147,2013,18,145
10169149,2013,18,145
10169150,2013,31,145
10169151,2013,29,146
10169152,2013,20,145
10169153,2013,30,145
10169155,2013,21,145
10169156,2013,39,146
10169159,2013,37,146
10169160,2013,25,145
10169161,2013,21,145
10169162,2013,18,108
10169163,2013,16,144
10169165,2013,18,144
10169166,2013,20,143
10169168,2013,27,145
10169169,2013,27,145
10169170,2013,38,147
10169171,2013,33,145
10169172,2013,28,145
10169173,2013,25,145
10169174,2013,27,146
10169175,2013,24,145
10169176,2013,47,147
10169177,2013,35,114
10169178,2013,22,145
10169179,2013,22,145
10169180,2013,24,146
10169181,2013,25,146
10169182,2013,27,145
10169183,2013,22,145
10169184,2013,23,145
10169185,2013,25,145
10169186,2013,43,147
10169187,2013,29,145
