Output Format: HOBO CSV Name, Last Snow Day (with time), Number of Snow Days

10166262,2013-05-27 03:00:00,24
10166263,2013-04-09 09:00:00,15
10166264,2013-05-25 09:00:00,23
10166265,2013-05-27 09:00:00,35
10166266,2013-05-26 09:00:00,24
10166267,2013-05-26 03:00:00,24
10166268,2013-05-25 09:00:00,28
10166269,2013-04-18 09:00:00,15
10166270,2013-05-25 21:00:00,36
10166271,2013-05-24 21:00:00,19
10166272,2013-05-25 03:00:00,23
10166273,2013-05-28 03:00:00,67
10166274,2013-05-27 03:00:00,52
10166275,2013-05-25 03:00:00,19
10166276,2013-04-18 21:00:00,16
10166277,2013-05-25 03:00:00,21
10166278,2013-05-27 03:00:00,43
10166279,2013-05-25 09:00:00,24
10166280,2013-05-25 09:00:00,25
10166281,2013-05-26 03:00:00,38
10166282,2013-04-19 03:00:00,15
10166283,2013-05-25 15:00:00,34
10166284,2013-05-25 09:00:00,25
10166285,2013-05-25 21:00:00,24
10166286,2013-05-25 09:00:00,47
10166287,2013-05-26 09:00:00,37
10166288,2013-04-21 03:00:00,30
10166290,NA,0
10166291,2013-05-25 15:00:00,21
10166292,2013-05-27 15:00:00,55
10166293,2013-05-25 21:00:00,24
10166294,2013-05-26 09:00:00,21
10166295,2013-05-25 15:00:00,23
10166296,2013-05-25 21:00:00,24
10166297,2013-05-26 03:00:00,29
10166298,2013-05-25 09:00:00,18
10166299,NA,0
10166300,2013-05-26 09:00:00,56
10166301,2013-05-24 09:00:00,18
10166302,2013-05-25 09:00:00,23
10166303,2013-05-25 09:00:00,25
10166304,2013-05-26 09:00:00,44
10166305,2013-05-25 03:00:00,26
10166306,2013-05-25 09:00:00,27
10166307,2013-05-27 03:00:00,39
10166308,2013-05-23 09:00:00,12
10166310,2013-05-27 15:00:00,45
10166311,2013-05-24 09:00:00,18
10166312,2013-05-26 09:00:00,55
10166313,NA,0
10166314,2013-05-25 03:00:00,33
10166315,2013-05-25 03:00:00,30
10166316,2013-05-25 03:00:00,52
10166317,2013-05-27 03:00:00,47
10166318,2013-05-24 09:00:00,16
10166319,2013-05-25 09:00:00,41
10166320,2013-04-18 09:00:00,16
10166321,2013-05-26 09:00:00,30
10166322,2013-05-25 09:00:00,29
10166323,2013-05-28 09:00:00,57
10169126,2013-05-26 21:00:00,32
10169127,2013-05-26 03:00:00,41
10169128,2013-05-26 15:00:00,42
10169129,2013-05-24 09:00:00,18
10169130,2013-05-24 09:00:00,33
10169131,2013-05-26 15:00:00,27
10169132,2013-05-27 09:00:00,41
10169133,2013-05-26 09:00:00,23
10169134,NA,0
10169135,2013-04-18 09:00:00,18
10169136,NA,0
10169137,NA,0
10169138,2013-05-25 09:00:00,46
10169139,2013-05-25 21:00:00,22
10169140,2013-05-26 03:00:00,23
10169141,2013-05-23 09:00:00,7
10169142,2013-05-25 03:00:00,26
10169143,2013-05-25 03:00:00,19
10169144,2013-05-25 03:00:00,33
10169145,2013-05-25 09:00:00,19
10169146,2013-05-26 09:00:00,23
10169147,2013-05-25 09:00:00,18
10169148,2013-05-26 15:00:00,20
10169149,2013-05-25 03:00:00,18
10169150,2013-05-25 21:00:00,31
10169151,2013-05-26 09:00:00,29
10169152,2013-05-25 03:00:00,20
10169153,2013-05-25 09:00:00,30
10169154,2013-05-23 03:00:00,4
10169155,2013-05-25 09:00:00,19
10169156,2013-05-26 15:00:00,39
10169157,2013-05-25 09:00:00,54
10169159,2013-05-26 03:00:00,37
10169160,2013-05-25 09:00:00,25
10169161,2013-05-25 03:00:00,21
10169162,2013-04-18 21:00:00,18
10169163,2013-05-24 21:00:00,16
10169164,2013-05-27 09:00:00,60
10169165,2013-05-24 21:00:00,18
10169166,2013-05-23 09:00:00,20
10169167,NA,0
10169168,2013-05-25 21:00:00,27
10169169,2013-05-25 09:00:00,27
10169170,2013-05-27 03:00:00,38
10169171,2013-05-25 21:00:00,33
10169172,2013-05-25 15:00:00,28
10169173,2013-05-25 21:00:00,25
10169174,2013-05-26 03:00:00,27
10169175,2013-05-25 09:00:00,24
10169176,2013-05-27 09:00:00,47
10169177,2013-04-24 21:00:00,35
10169178,2013-05-25 09:00:00,22
10169179,2013-05-25 15:00:00,22
10169180,2013-05-26 03:00:00,24
10169181,2013-05-26 03:00:00,25
10169182,2013-05-25 09:00:00,27
10169183,2013-05-25 09:00:00,22
10169184,2013-05-25 09:00:00,23
10169185,2013-05-25 09:00:00,25
10169186,2013-05-27 03:00:00,43
10169187,2013-05-25 15:00:00,29
10169188,2013-05-25 21:00:00,26
10169305,2013-05-27 03:00:00,52
